회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원
(주)그래디언트,35080,18-Dec,1809664488,339457297,10
(주)그래디언트,35080,19-Dec,1780051911,336145750,32
(주)그리티,204020,18-Dec,95755030,86557287,94
(주)그리티,204020,19-Dec,92151596,86803901,96
(주)그린플러스,186230,19-Dec,72321985,56587945,95
(주)글로벌스탠다드테크놀로지,83450,11-Dec,52575255,49714791,214
(주)글로벌스탠다드테크놀로지,83450,12-Dec,53824618,49050552,267
(주)글로벌스탠다드테크놀로지,83450,13-Dec,62626777,57053266,306
(주)글로벌스탠다드테크놀로지,83450,14-Dec,69972237,63317853,361
(주)글로벌스탠다드테크놀로지,83450,15-Dec,69691968,60770711,392
(주)글로벌스탠다드테크놀로지,83450,16-Dec,89405841,78440684,435
(주)글로벌스탠다드테크놀로지,83450,17-Dec,102400669,88966307,584
(주)글로벌스탠다드테크놀로지,83450,18-Dec,105027408,87524011,605
(주)글로벌스탠다드테크놀로지,83450,19-Dec,136751562,120984040,594
(주)금양,1570,11-Dec,130817841,124086392,75
(주)금양,1570,12-Dec,127557393,127197484,79
(주)금양,1570,13-Dec,147115126,142485295,85
(주)금양,1570,14-Dec,160244911,145135554,102
(주)금양,1570,15-Dec,165405931,157467543,101
(주)금양,1570,16-Dec,178901902,174953809,114
(주)금양,1570,17-Dec,196084032,167120998,109
(주)금양,1570,18-Dec,204777156,155507052,104
(주)금양,1570,19-Dec,224222540,171931897,96
(주)금호에이치티,214330,15-Dec,123875646,109367040,555
(주)금호에이치티,214330,16-Dec,156606980,151786975,514
(주)금호에이치티,214330,17-Dec,150164495,146407321,472
(주)금호에이치티,214330,18-Dec,238380056,230268876,512
(주)금호에이치티,214330,19-Dec,322078193,314666069,525
(주)금화피에스시,36190,11-Dec,,94174014,523
(주)금화피에스시,36190,12-Dec,,105483370,561
(주)금화피에스시,36190,13-Dec,142932108,135180701,615
(주)금화피에스시,36190,14-Dec,158057524,146360964,704
(주)금화피에스시,36190,15-Dec,189001800,175086217,776
(주)금화피에스시,36190,16-Dec,215036137,197557790,839
(주)금화피에스시,36190,17-Dec,231639148,216252318,818
(주)금화피에스시,36190,18-Dec,262516457,242310750,1396
(주)금화피에스시,36190,19-Dec,281692946,255149491,876
(주)기가레인,49080,13-Dec,122523850,122926340,305
(주)기가레인,49080,14-Dec,131923500,133237615,377
(주)기가레인,49080,15-Dec,151757532,148551434,364
(주)기가레인,49080,16-Dec,155732003,152639799,350
(주)기가레인,49080,17-Dec,181628353,179756049,200
(주)기가레인,49080,18-Dec,179113947,176296022,222
(주)기가레인,49080,19-Dec,117798198,115539385,199
(주)기산텔레콤,35460,11-Dec,86259438,59416681,92
(주)기산텔레콤,35460,12-Dec,73234520,46588431,84
(주)기산텔레콤,35460,13-Dec,78811114,57254925,85
(주)기산텔레콤,35460,14-Dec,78052777,54284156,98
(주)기산텔레콤,35460,15-Dec,76012528,53901387,86
(주)기산텔레콤,35460,16-Dec,74209973,47117435,95
(주)기산텔레콤,35460,17-Dec,70137339,44554117,89
(주)기산텔레콤,35460,18-Dec,56180491,34219394,85
(주)기산텔레콤,35460,19-Dec,66789756,40025881,79
(주)까뮤이앤씨,13700,11-Dec,,248885092,80
(주)까뮤이앤씨,13700,12-Dec,,203481478,80
(주)까뮤이앤씨,13700,13-Dec,,167635146,77
(주)까뮤이앤씨,13700,14-Dec,,129647729,130
(주)까뮤이앤씨,13700,15-Dec,,129465385,159
(주)까뮤이앤씨,13700,16-Dec,,142978398,161
(주)까뮤이앤씨,13700,17-Dec,,139937930,162
(주)까뮤이앤씨,13700,18-Dec,,142240175,177
(주)까뮤이앤씨,13700,19-Dec,,168876167,167
(주)까스텔바작,308100,19-Dec,89005071,88614189,59
(주)나노,187790,14-Dec,,,
(주)나노,187790,15-Dec,99495652,72593232,77
(주)나노,187790,16-Dec,83440884,57351009,76
(주)나노,187790,17-Dec,91574665,59149648,71
(주)나노,187790,18-Dec,108261295,66624058,63
(주)나노,187790,19-Dec,116141232,73016346,45
(주)나노브릭,286750,19-Dec,24551526,24551526,58
(주)나노신소재,121600,11-Dec,73056413,73039188,134
(주)나노신소재,121600,12-Dec,68351781,68451247,133
(주)나노신소재,121600,13-Dec,67523690,67590589,134
(주)나노신소재,121600,14-Dec,71678554,71672677,151
(주)나노신소재,121600,15-Dec,83449448,82685704,166
(주)나노신소재,121600,16-Dec,84239207,84288643,178
(주)나노신소재,121600,17-Dec,88963512,89013566,192
(주)나노신소재,121600,18-Dec,98480424,98056917,195
(주)나노신소재,121600,19-Dec,101893569,101777474,213
(주)나노엔텍,39860,11-Dec,49649382,50081334,83
(주)나노엔텍,39860,12-Dec,44437103,44443980,88
(주)나노엔텍,39860,13-Dec,44803627,46319139,89
(주)나노엔텍,39860,14-Dec,43261142,46185844,94
(주)나노엔텍,39860,15-Dec,52687009,58551326,107
(주)나노엔텍,39860,16-Dec,45707894,47792785,141
(주)나노엔텍,39860,17-Dec,42369896,45400592,95
(주)나노엔텍,39860,18-Dec,42161682,45657059,98
(주)나노엔텍,39860,19-Dec,46639328,50554981,105
(주)나무가,190510,15-Dec,203857810,147630953,145
(주)나무가,190510,16-Dec,195912474,114797114,138
(주)나무가,190510,17-Dec,142414320,73845257,128
(주)나무가,190510,18-Dec,118767661,78000824,107
(주)나무가,190510,19-Dec,194518538,157114377,146
(주)나스미디어,89600,13-Dec,,97139620,193
(주)나스미디어,89600,14-Dec,,97502238,212
(주)나스미디어,89600,15-Dec,,141732627,225
(주)나스미디어,89600,16-Dec,263925022,192274757,273
(주)나스미디어,89600,17-Dec,315966980,239540352,320
(주)나스미디어,89600,18-Dec,303112420,229196776,319
(주)나스미디어,89600,19-Dec,356236026,279587256,351
(주)나이벡,138610,11-Dec,,17401025,29
(주)나이벡,138610,12-Dec,,16460027,31
(주)나이벡,138610,13-Dec,,17054924,45
(주)나이벡,138610,14-Dec,,14148441,44
(주)나이벡,138610,15-Dec,,19428914,50
(주)나이벡,138610,16-Dec,,22969642,57
(주)나이벡,138610,17-Dec,,25750373,55
