회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별)
(주)국보,1140,Dec-16,66033326,15275562,64287142,13200649
(주)국보,1140,Dec-17,55421608,17848563,53780069,16039171
(주)국보,1140,Dec-18,34775907,13412206,34021141,11578143
(주)국보,1140,Dec-19,86752439,28604010,45188516,12278837
(주)국보디자인,66620,Dec-11,32057338,48143562,30730895,48472432
(주)국보디자인,66620,Dec-12,35313021,57564527,34589879,58283419
(주)국보디자인,66620,Dec-13,62304123,65598063,57018397,64945696
(주)국보디자인,66620,Dec-14,57660989,74350888,55233687,70452085
(주)국보디자인,66620,Dec-15,57782472,83307386,53570805,75467148
(주)국보디자인,66620,Dec-16,71523640,86928845,70548163,80282408
(주)국보디자인,66620,Dec-17,65097890,99283826,63937167,94380512
(주)국보디자인,66620,Dec-18,66436346,108600438,58152003,103598968
(주)국보디자인,66620,Dec-19,99151096,123363884,85686398,112076012
(주)국순당,43650,Dec-11,21020767,178114387,19804029,174045265
(주)국순당,43650,Dec-12,18103728,191625826,17184003,186305726
(주)국순당,43650,Dec-13,23547445,194567775,17213771,185985822
(주)국순당,43650,Dec-14,20669149,196810690,18944456,186838479
(주)국순당,43650,Dec-15,18420650,198167277,17410245,186118215
(주)국순당,43650,Dec-16,18986190,194018641,16888868,183188543
(주)국순당,43650,Dec-17,20660503,221539252,17086381,191745752
(주)국순당,43650,Dec-18,22939575,215679919,17730015,203499644
(주)국순당,43650,Dec-19,47525638,204958649,13082667,196923842
(주)국영지앤엠,6050,Dec-11,,,28289760,32733005
(주)국영지앤엠,6050,Dec-12,,,14237403,45960267
(주)국영지앤엠,6050,Dec-13,,,16762705,46345349
(주)국영지앤엠,6050,Dec-14,,,11754876,47240880
(주)국영지앤엠,6050,Dec-15,,,14740854,48972537
(주)국영지앤엠,6050,Dec-16,,,15112874,50558041
(주)국영지앤엠,6050,Dec-17,,,13489458,52611544
(주)국영지앤엠,6050,Dec-18,,,8586831,51748308
(주)국영지앤엠,6050,Dec-19,,,15830851,52826451
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,448781572,328872047,187176481,334573662
(주)그래디언트,35080,Dec-12,343327081,396658401,70524662,411656935
(주)그래디언트,35080,Dec-13,846564410,751939530,70931985,402332194
(주)그래디언트,35080,Dec-14,1020007595,900343355,35815115,420045194
(주)그래디언트,35080,Dec-15,1202893253,903808796,44313733,431479123
(주)그래디언트,35080,Dec-16,1233206219,840330799,15287631,389295611
(주)그래디언트,35080,Dec-17,1062216374,742316982,15302824,328719925
(주)그래디언트,35080,Dec-18,1095183390,714481098,14238879,325218418
(주)그래디언트,35080,Dec-19,1110465400,669586510,16057558,320088192
(주)그리티,204020,Dec-18,21294442,74460588,12506261,74051025
(주)그리티,204020,Dec-19,17970493,74181103,11970153,74833748
(주)그린플러스,186230,Dec-19,34930648,37391337,19815070,36772875
(주)글로벌스탠다드테크놀로지,83450,Dec-11,24980582,27594673,23359541,26355250
(주)글로벌스탠다드테크놀로지,83450,Dec-12,17816313,36008304,15671535,33379017
(주)글로벌스탠다드테크놀로지,83450,Dec-13,19996780,42629997,17883380,39169886
(주)글로벌스탠다드테크놀로지,83450,Dec-14,19126184,50846053,17693459,45624394
(주)글로벌스탠다드테크놀로지,83450,Dec-15,13016302,56675666,11103032,49667680
(주)글로벌스탠다드테크놀로지,83450,Dec-16,28626022,60779819,25336853,53103831
(주)글로벌스탠다드테크놀로지,83450,Dec-17,24125110,78275559,21687828,67278478
(주)글로벌스탠다드테크놀로지,83450,Dec-18,19219582,85807825,14883193,72640818
(주)글로벌스탠다드테크놀로지,83450,Dec-19,33440861,103310701,30580877,90403163
(주)금비,8870,Sep-11,87657510,127461261,58196584,76631712
(주)금비,8870,Sep-12,87911756,127569592,55167793,76286738
(주)금비,8870,Sep-13,81907114,127930275,55942614,75961191
(주)금비,8870,Sep-14,90438221,130427078,64107095,73951486
(주)금비,8870,Sep-15,92917066,138920965,66769866,75497346
(주)금비,8870,Sep-16,103925637,146679335,75060659,80284267
(주)금비,8870,Sep-17,96985485,150022915,67258998,80937315
(주)금비,8870,Sep-18,96639999,156252159,66327214,83535809
(주)금비,8870,Sep-19,96636403,163543704,66810046,84602682
(주)금양,1570,Dec-11,85642155,45175687,81062141,43024251
(주)금양,1570,Dec-12,82014813,45542580,81935888,45261596
(주)금양,1570,Dec-13,101560871,45554255,97062605,45422689
