회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별)
(주)경방,50,Dec-13,103410904,40216862,135215333,79482802,35601409,88576434
(주)경방,50,Dec-14,101229398,37758471,409405729,83665762,34615710,388656785
(주)경방,50,Dec-15,108093423,52862910,185946014,83760073,37595998,143915877
(주)경방,50,Dec-16,106002223,45810493,155435755,80538917,33656952,120641481
(주)경방,50,Dec-17,90254697,31921285,319476563,71472590,22476156,249334914
(주)경방,50,Dec-18,120711492,59792825,163151849,88159568,35574579,102888605
(주)경방,50,Dec-19,264861016,31308041,192380293,223798878,13959690,150525799
(주)경보제약,214390,Dec-15,,,,105108130,49522277,64542191
(주)경보제약,214390,Dec-16,,,,102226920,47568951,72716830
(주)경보제약,214390,Dec-17,,,,110638039,47964422,60379395
(주)경보제약,214390,Dec-18,,,,128936315,53494316,69317865
(주)경보제약,214390,Dec-19,,,,124176490,62312499,83814952
(주)경인양행,12610,Dec-11,166259207,95390048,107188765,99039937,51423188,64682274
(주)경인양행,12610,Dec-12,146242797,70357744,94090486,94723927,38724208,70551008
(주)경인양행,12610,Dec-13,175887375,90667397,108289018,123143650,60685132,88530619
(주)경인양행,12610,Dec-14,164606526,89741323,86323503,107227115,57418066,64009841
(주)경인양행,12610,Dec-15,176664098,95494779,109310448,113173448,62450588,81834318
(주)경인양행,12610,Dec-16,191409058,99419770,119502456,126364739,66161603,93552900
(주)경인양행,12610,Dec-17,193184742,97118533,124353660,125062666,63955013,93894860
(주)경인양행,12610,Dec-18,234817064,123873222,156924274,165167110,86129207,127936086
(주)경인양행,12610,Dec-19,251884675,141253404,192593606,172620331,101010142,154357193
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,38542950,3329941,23125664
(주)고려시멘트,198440,Dec-18,,,,49955334,4242987,29601570
(주)고려시멘트,198440,Dec-19,,,,46591282,6942200,27999091
(주)고영테크놀러지,98460,Dec-11,63304178,14264259,14902695,61560094,13001882,14154716
(주)고영테크놀러지,98460,Dec-12,77857574,17763177,15604806,75787332,15164342,14596799
(주)고영테크놀러지,98460,Dec-13,94895999,20893135,17831243,93556579,17888953,16476867
(주)고영테크놀러지,98460,Dec-14,108649874,18090390,20476391,107119140,13344937,18713887
(주)고영테크놀러지,98460,Dec-15,121834639,19344915,21007557,124933566,12475503,20345674
(주)고영테크놀러지,98460,Dec-16,154891864,19563475,27477608,156029191,12591503,26393379
(주)고영테크놀러지,98460,Dec-17,161356541,22300525,32283948,159374622,12749777,29687984
(주)고영테크놀러지,98460,Dec-18,227563739,31398344,40471875,231667150,19487304,38506988
(주)고영테크놀러지,98460,Dec-19,225797248,36331529,38413935,229213476,21338197,34506180
(주)골드앤에스,35290,Dec-11,23477041,2865869,21734828,23165184,2865869,21203833
(주)골드앤에스,35290,Dec-12,26661256,2643834,20697748,27310447,2643834,19364629
(주)골드앤에스,35290,Dec-13,15792977,3133301,29802347,17985887,3133301,22293201
(주)골드앤에스,35290,Dec-14,15072221,2940734,25047175,15782408,2940734,14232991
(주)골드앤에스,35290,Dec-15,15364121,2329866,7942854,15122533,2329866,7606920
(주)골드앤에스,35290,Dec-16,8660668,1958738,3670098,8552277,1958738,3460979
(주)골드앤에스,35290,Dec-17,10831000,1057469,3198537,10974294,1057469,3260731
(주)골드앤에스,35290,Dec-18,21031370,1290682,28003279,21031370,1290682,27915835
(주)골드앤에스,35290,Dec-19,3910189,498013,21055498,3910189,498013,20965017
(주)골드퍼시픽,38530,Dec-11,,,,15105931,4047225,2479288
(주)골드퍼시픽,38530,Dec-12,,,,19029706,6326625,3581856
(주)골드퍼시픽,38530,Dec-13,16708814,6434511,10776770,15961156,5930685,8833269
(주)골드퍼시픽,38530,Dec-14,23894969,7662615,17941676,15761409,3617004,8600544
(주)골드퍼시픽,38530,Dec-15,14304863,1707754,4089090,14304863,1707754,4089090
(주)골드퍼시픽,38530,Dec-16,,,,5438550,55567,6684024
(주)골드퍼시픽,38530,Dec-17,,,,17215160,545070,20748043
(주)골드퍼시픽,38530,Dec-18,23990386,1607114,12191199,22006122,807960,11654119
(주)골드퍼시픽,38530,Dec-19,,,,28455147,3548341,50456375
(주)골프존,215000,Dec-15,81295773,3108991,50803120,71290784,1816661,48712106
(주)골프존,215000,Dec-16,89781733,12659642,56451253,75788492,11069054,51807444
(주)골프존,215000,Dec-17,160591890,13130013,51918381,142686039,10223995,45867329
(주)골프존,215000,Dec-18,145265354,10498417,54339957,134088763,7999910,52508860
(주)골프존,215000,Dec-19,81730468,10880176,61066134,70491340,7433871,54396575
