회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)경인양행,12610,Dec-14,277181095,164606526,86323503,190395047,107227115,64009841
(주)경인양행,12610,Dec-15,263163677,176664098,109310448,175006703,113173448,81834318
(주)경인양행,12610,Dec-16,274873817,191409058,119502456,179267850,126364739,93552900
(주)경인양행,12610,Dec-17,299987729,193184742,124353660,193975818,125062666,93894860
(주)경인양행,12610,Dec-18,331102011,234817064,156924274,222659442,165167110,127936086
(주)경인양행,12610,Dec-19,358802386,251884675,192593606,245244968,172620331,154357193
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,87660276,38542950,23125664
(주)고려시멘트,198440,Dec-18,,,,85775723,49955334,29601570
(주)고려시멘트,198440,Dec-19,,,,70921781,46591282,27999091
(주)고영테크놀러지,98460,Dec-11,86130810,63304178,14902695,80200892,61560094,14154716
(주)고영테크놀러지,98460,Dec-12,107841666,77857574,15604806,100791139,75787332,14596799
(주)고영테크놀러지,98460,Dec-13,111902729,94895999,17831243,103933681,93556579,16476867
(주)고영테크놀러지,98460,Dec-14,142840131,108649874,20476391,135531589,107119140,18713887
(주)고영테크놀러지,98460,Dec-15,145904431,121834639,21007557,138554625,124933566,20345674
(주)고영테크놀러지,98460,Dec-16,171793841,154891864,27477608,153254768,156029191,26393379
(주)고영테크놀러지,98460,Dec-17,203368626,161356541,32283948,188934907,159374622,29687984
(주)고영테크놀러지,98460,Dec-18,238208865,227563739,40471875,219818022,231667150,38506988
(주)고영테크놀러지,98460,Dec-19,222057035,225797248,38413935,209480760,229213476,34506180
(주)골드앤에스,35290,Dec-11,47522791,23477041,21734828,47522791,23165184,21203833
(주)골드앤에스,35290,Dec-12,43889087,26661256,20697748,43889087,27310447,19364629
(주)골드앤에스,35290,Dec-13,39548810,15792977,29802347,36607591,17985887,22293201
(주)골드앤에스,35290,Dec-14,31287203,15072221,25047175,29428881,15782408,14232991
(주)골드앤에스,35290,Dec-15,22197935,15364121,7942854,22197935,15122533,7606920
(주)골드앤에스,35290,Dec-16,15893494,8660668,3670098,15893494,8552277,3460979
(주)골드앤에스,35290,Dec-17,12802035,10831000,3198537,12802035,10974294,3260731
(주)골드앤에스,35290,Dec-18,8680452,21031370,28003279,8680452,21031370,27915835
(주)골드앤에스,35290,Dec-19,7642733,3910189,21055498,7642733,3910189,20965017
(주)골드퍼시픽,38530,Dec-11,,,,11236925,15105931,2479288
(주)골드퍼시픽,38530,Dec-12,,,,10491048,19029706,3581856
(주)골드퍼시픽,38530,Dec-13,7167832,16708814,10776770,6488691,15961156,8833269
(주)골드퍼시픽,38530,Dec-14,16486257,23894969,17941676,4855121,15761409,8600544
(주)골드퍼시픽,38530,Dec-15,18635305,14304863,4089090,6121489,14304863,4089090
(주)골드퍼시픽,38530,Dec-16,,,,9588100,5438550,6684024
(주)골드퍼시픽,38530,Dec-17,,,,5031439,17215160,20748043
(주)골드퍼시픽,38530,Dec-18,5708281,23990386,12191199,5580994,22006122,11654119
(주)골드퍼시픽,38530,Dec-19,,,,11323125,28455147,50456375
(주)골프존,215000,Dec-15,201560389,81295773,50803120,184085342,71290784,48712106
(주)골프존,215000,Dec-16,216964342,89781733,56451253,196864993,75788492,51807444
(주)골프존,215000,Dec-17,200105321,160591890,51918381,171859065,142686039,45867329
(주)골프존,215000,Dec-18,198705194,145265354,54339957,191571105,134088763,52508860
(주)골프존,215000,Dec-19,247018099,81730468,61066134,239051647,70491340,54396575
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,276277197,27175102,209788389,249046740,23959622
