회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-14,176744598,192439743,762037240,174950116,109937606,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,97152205,103565383,767325175,45672526,8367004,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,102314350,144628383,760772930,63048320,13600183,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,117348020,120725767,756500949,46961353,37343445,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,99968915,209277715,774743339,59445798,53590836,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,125716505,85327312,776384700,30696570,13311280,537526345
(주)광림,14200,Dec-11,,,,49443117,23686842,86353051
(주)광림,14200,Dec-12,,,,53533329,20807441,89766075
(주)광림,14200,Dec-13,,,,66494275,28060377,101592603
(주)광림,14200,Dec-14,149961809,85772868,244886480,53880127,42077415,120284256
(주)광림,14200,Dec-15,,,,57623469,54386273,146338755
(주)광림,14200,Dec-16,88113464,105795434,229596737,51509785,55787503,152080347
(주)광림,14200,Dec-17,78175789,73471288,208058303,255751980,162860814,369582323
(주)광림,14200,Dec-18,75325405,89327971,187812629,145430179,100481370,236379465
(주)광림,14200,Dec-19,114526470,148515736,252468254,82568345,126333888,193568854
(주)광명전기,17040,Dec-11,70952226,52472085,123886511,50517306,39343749,99992644
(주)광명전기,17040,Dec-12,80616850,59112462,131064345,59736559,44663856,104218586
(주)광명전기,17040,Dec-13,78305715,45597121,120910764,64082992,40492046,105483729
(주)광명전기,17040,Dec-14,93730239,53299701,138580023,76850052,47016155,119791644
(주)광명전기,17040,Dec-15,83058514,37684895,131457603,63045495,31780232,107719518
(주)광명전기,17040,Dec-16,72296041,43304256,146859319,62147467,32825028,125405290
(주)광명전기,17040,Dec-17,72825667,41093650,152717140,64686772,37309556,128881408
(주)광명전기,17040,Dec-18,69980314,36256155,151823119,59981263,30574801,124159091
(주)광명전기,17040,Dec-19,87126906,45133574,156712705,77171530,40976226,140591786
(주)광무,29480,Dec-11,37578091,33725662,75946478,35909129,32194731,85836111
(주)광무,29480,Dec-12,23778931,20318859,55788602,16266767,18995980,60163490
(주)광무,29480,Dec-13,14314055,21611943,35384615,7025489,14232527,28890332
(주)광무,29480,Dec-14,,,,9475626,14741069,27862528
(주)광무,29480,Dec-15,,,,5286509,6483577,21133216
(주)광무,29480,Dec-16,,,,11893960,13291212,29089768
(주)광무,29480,Dec-17,,,,14949942,13555844,28950503
(주)광무,29480,Dec-18,17301470,14986294,28431748,12582516,13577977,26017306
(주)광무,29480,Dec-19,39307761,36140360,63139837,33233586,32525952,57156720
(주)광주신세계,37710,Dec-11,,,,260854658,66163614,380753715
(주)광주신세계,37710,Dec-12,,,,287723501,65950254,430662968
(주)광주신세계,37710,Dec-13,,,,25873334,145034010,656355808
(주)광주신세계,37710,Dec-14,,,,24561635,100591603,652758688
(주)광주신세계,37710,Dec-15,,,,33510638,167220829,659495158
(주)광주신세계,37710,Dec-16,,,,32426270,120554131,655502726
(주)광주신세계,37710,Dec-17,,,,33243825,74984335,655018971
(주)광주신세계,37710,Dec-18,,,,77504431,74818605,696204982
(주)광주신세계,37710,Dec-19,,,,103160925,75664224,752423111
(주)구영테크,53270,Dec-11,58842369,104279859,149471330,40821654,60331304,94940916
(주)구영테크,53270,Dec-12,66346373,115585365,161163024,48964877,72155820,109440531
(주)구영테크,53270,Dec-13,53694228,89109382,149230187,36391962,57510219,97549406
(주)구영테크,53270,Dec-14,57115595,79347724,155857242,40628726,48915659,101546298
(주)구영테크,53270,Dec-15,58836903,68834054,161330950,41055597,39444816,102761141
(주)구영테크,53270,Dec-16,54139890,67161561,166748490,39434041,37678727,108895002
(주)구영테크,53270,Dec-17,64140319,81848867,187009683,52077454,56414032,139584386
(주)구영테크,53270,Dec-18,60744298,75014258,202572970,43158029,43472159,146492374
(주)구영테크,53270,Dec-19,70165074,89345198,206569873,37519675,46819127,141034767
(주)국동,5320,Dec-11,39415062,55840092,68162305,22715717,39383056,42291817
(주)국동,5320,Dec-12,39351863,49512946,65808287,17991148,32784070,35813125
(주)국동,5320,Dec-13,48642552,51305589,73040609,24414342,33963447,40194919
(주)국동,5320,Dec-14,60454108,43845038,89271398,36105772,30973623,53392996
(주)국동,5320,Dec-15,63906154,44926359,93758552,34533151,36237475,66242141
(주)국동,5320,Dec-16,83256355,47910562,124126720,51330735,30079724,86116813
(주)국동,5320,Dec-17,66343830,48234584,106307080,39587109,32582779,75154254
(주)국동,5320,Dec-18,83767312,63170690,123134702,46980024,38965464,80727956
(주)국동,5320,Dec-19,89543258,42862482,133723726,54839302,25921567,96856085
(주)국보,1140,Dec-11,41337436,54216640,98869465,39894724,53436541,97415381
(주)국보,1140,Dec-12,39130945,53242160,98494841,36506928,51610685,93953021
(주)국보,1140,Dec-13,37418409,55559279,98315386,35691910,54445568,94915572
(주)국보,1140,Dec-14,31669967,55303602,91005502,30298511,54035255,87597909
(주)국보,1140,Dec-15,26759792,52453525,83085438,25758664,51329699,80158667
(주)국보,1140,Dec-16,26046898,54893083,81308887,24610414,53668775,77487791
(주)국보,1140,Dec-17,18529522,45812874,73270170,17793062,44683851,69819240
(주)국보,1140,Dec-18,11759027,28126737,48188113,11593846,27888972,45599283
