회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별)
(주)국순당,43650,Dec-12,87400525,209729554,81287902,203489729
(주)국순당,43650,Dec-13,100545624,218115221,84404848,203199593
(주)국순당,43650,Dec-14,99291581,217479839,86268346,205782935
(주)국순당,43650,Dec-15,97221146,216587928,82905503,203528460
(주)국순당,43650,Dec-16,85261001,213004831,71906088,200077411
(주)국순당,43650,Dec-17,86651908,242199755,75544356,208832133
(주)국순당,43650,Dec-18,72906719,238619493,62941465,221229658
(주)국순당,43650,Dec-19,78834555,252484287,60930981,210006510
(주)국영지앤엠,6050,Dec-11,,,25252313,61022765
(주)국영지앤엠,6050,Dec-12,,,21149484,60197670
(주)국영지앤엠,6050,Dec-13,,,25059260,63108054
(주)국영지앤엠,6050,Dec-14,,,22615829,58995756
(주)국영지앤엠,6050,Dec-15,,,27918404,63713392
(주)국영지앤엠,6050,Dec-16,,,29575531,65670915
(주)국영지앤엠,6050,Dec-17,,,29995395,66101002
(주)국영지앤엠,6050,Dec-18,,,25138635,60335138
(주)국영지앤엠,6050,Dec-19,,,32068324,68657302
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,278334197,777653618,24034151,521750143
(주)그래디언트,35080,Dec-12,240486033,739985481,14309378,482181596
(주)그래디언트,35080,Dec-13,979087606,1598503940,1714561,473264178
(주)그래디언트,35080,Dec-14,1142871354,1920350951,3742011,455860309
(주)그래디언트,35080,Dec-15,1337838696,2106702049,949479,475792856
(주)그래디언트,35080,Dec-16,1415600914,2073537018,395047,404583242
(주)그래디언트,35080,Dec-17,1229878565,1804533355,3201309,344022749
(주)그래디언트,35080,Dec-18,1261972833,1809664488,2674301,339457297
(주)그래디언트,35080,Dec-19,1206801338,1780051911,208003,336145750
(주)그리티,204020,Dec-18,89112620,95755030,75670982,86557287
(주)그리티,204020,Dec-19,82603832,92151596,68611692,86803901
(주)그린플러스,186230,Dec-19,38480019,72321985,28574671,56587945
(주)글로벌스탠다드테크놀로지,83450,Dec-11,33914648,52575255,31754029,49714791
(주)글로벌스탠다드테크놀로지,83450,Dec-12,31615500,53824618,27371107,49050552
(주)글로벌스탠다드테크놀로지,83450,Dec-13,37636405,62626777,34350069,57053266
(주)글로벌스탠다드테크놀로지,83450,Dec-14,42966221,69972237,38669764,63317853
(주)글로벌스탠다드테크놀로지,83450,Dec-15,35391249,69691968,30726947,60770711
(주)글로벌스탠다드테크놀로지,83450,Dec-16,53825575,89405841,46676903,78440684
(주)글로벌스탠다드테크놀로지,83450,Dec-17,57916418,102400669,46766708,88966307
(주)글로벌스탠다드테크놀로지,83450,Dec-18,54651818,105027408,41265448,87524011
(주)글로벌스탠다드테크놀로지,83450,Dec-19,88978443,136751562,78199372,120984040
(주)금비,8870,Sep-11,65598563,215118770,31090507,134828296
(주)금비,8870,Sep-12,69601347,215481348,27896984,131454531
(주)금비,8870,Sep-13,62071037,209837389,25680687,131903805
(주)금비,8870,Sep-14,69421539,220865299,23356269,138058582
(주)금비,8870,Sep-15,77826715,231838031,30922809,142267212
(주)금비,8870,Sep-16,92313829,250604972,36295583,155344926
(주)금비,8870,Sep-17,90869613,247008401,30234670,148196313
(주)금비,8870,Sep-18,97025499,252892158,32217235,149863024
(주)금비,8870,Sep-19,105632362,260180107,34312672,151412728
(주)금양,1570,Dec-11,73356949,130817841,50168793,124086392
