회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별)
(주)국동,5320,Dec-18,219550054,0,136811631,0
(주)국동,5320,Dec-19,223077183,0,116180044,0
(주)국보,1140,Dec-11,130636214,27065174,118304924,26383751
(주)국보,1140,Dec-12,122343037,20461549,109183947,19396127
(주)국보,1140,Dec-13,117073443,19858641,108994114,19257872
(주)국보,1140,Dec-14,97520169,15090607,89859741,14586749
(주)국보,1140,Dec-15,91618545,12891236,85267457,12580604
(주)국보,1140,Dec-16,87333326,16397529,77773715,16076154
(주)국보,1140,Dec-17,78255522,15294608,74662255,15055161
(주)국보,1140,Dec-18,71549828,9603578,66929948,9414128
(주)국보,1140,Dec-19,89087334,11841043,58296078,9142581
(주)국보디자인,66620,Dec-11,130689686,3283186,123203000,2986643
(주)국보디자인,66620,Dec-12,119402993,4715896,118458574,4595026
(주)국보디자인,66620,Dec-13,163518536,12879322,153216189,12332525
(주)국보디자인,66620,Dec-14,176373907,12724468,158268803,11999905
(주)국보디자인,66620,Dec-15,192608497,11075367,157657615,11154715
(주)국보디자인,66620,Dec-16,201410031,17103591,191620729,17027385
(주)국보디자인,66620,Dec-17,270658405,15690035,262522024,15525351
(주)국보디자인,66620,Dec-18,254259835,14504533,231093439,14092211
(주)국보디자인,66620,Dec-19,269005976,23287340,237054909,23846546
(주)국순당,43650,Dec-11,127686247,2886581,124279594,2882593
(주)국순당,43650,Dec-12,118697826,2428304,115146725,2530595
(주)국순당,43650,Dec-13,99173525,2487835,96140591,2355302
(주)국순당,43650,Dec-14,91863604,2057948,89173752,2049423
(주)국순당,43650,Dec-15,77443124,2242995,74955341,2224462
(주)국순당,43650,Dec-16,69701266,1884112,68425801,1875643
(주)국순당,43650,Dec-17,62761236,1820720,60087461,1801389
(주)국순당,43650,Dec-18,61496072,1424251,52679104,1838920
(주)국순당,43650,Dec-19,102095769,3003336,48045002,1532245
(주)국영지앤엠,6050,Dec-11,,,42569848,508026
(주)국영지앤엠,6050,Dec-12,,,43781593,268127
(주)국영지앤엠,6050,Dec-13,,,55789778,298197
(주)국영지앤엠,6050,Dec-14,,,51491847,235583
(주)국영지앤엠,6050,Dec-15,,,40107647,342031
(주)국영지앤엠,6050,Dec-16,,,51456556,243092
(주)국영지앤엠,6050,Dec-17,,,62861661,680102
(주)국영지앤엠,6050,Dec-18,,,56301480,685295
(주)국영지앤엠,6050,Dec-19,,,73013468,427803
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,20751590,9501248,0
(주)그래디언트,35080,Dec-12,454225001,22192792,11150621,0
(주)그래디언트,35080,Dec-13,2930521926,438000293,7939840,0
(주)그래디언트,35080,Dec-14,3135027346,600061090,7753595,0
(주)그래디언트,35080,Dec-15,3536848758,748134634,12870821,0
(주)그래디언트,35080,Dec-16,3845761388,821075523,16516754,0
(주)그래디언트,35080,Dec-17,3541486629,598549556,12485184,0
(주)그래디언트,35080,Dec-18,3440906300,576919070,12237889,0
(주)그래디언트,35080,Dec-19,3412333826,568649165,8719700,0
(주)그리티,204020,Dec-18,119259702,5754631,117056356,3381175
(주)그리티,204020,Dec-19,123079831,5732363,120984485,1962053
(주)그린플러스,186230,Dec-19,48831866,1271911,39502728,688488
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,4338890,40662578,3964059
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,5277526,62774905,4507881
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,4589334,78917554,4995072
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,3102476,85992839,3846946
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,2506331,80102292,2544126
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,13105932,81859588,13417725
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,7195459,154761834,7361229
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,5676963,115619452,5821243
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,9480603,150777009,11627554
