,회사명,거래소코드,회계년도,직원감소율여부
635,(주)노루페인트,90350,2016,0
636,(주)노루페인트,90350,2017,0
637,(주)노루페인트,90350,2018,0
638,(주)노루페인트,90350,2019,0
639,(주)노루홀딩스,320,2011,0
640,(주)노루홀딩스,320,2012,0
641,(주)노루홀딩스,320,2013,0
642,(주)노루홀딩스,320,2014,0
643,(주)노루홀딩스,320,2015,0
644,(주)노루홀딩스,320,2016,0
645,(주)노루홀딩스,320,2017,1
646,(주)노루홀딩스,320,2018,0
647,(주)노루홀딩스,320,2019,0
648,(주)노바렉스,194700,2018,0
649,(주)노바렉스,194700,2019,0
650,(주)노바텍,285490,2018,0
651,(주)노바텍,285490,2019,0
652,(주)노블엠앤비,106520,2012,1
653,(주)노블엠앤비,106520,2013,1
654,(주)노블엠앤비,106520,2014,0
655,(주)노블엠앤비,106520,2015,0
656,(주)노블엠앤비,106520,2016,1
657,(주)노블엠앤비,106520,2017,0
658,(주)노블엠앤비,106520,2018,0
659,(주)노블엠앤비,106520,2019,0
660,(주)노터스,278650,2019,0
661,(주)녹십자,6280,2011,0
662,(주)녹십자,6280,2012,0
663,(주)녹십자,6280,2013,0
664,(주)녹십자,6280,2014,0
665,(주)녹십자,6280,2015,0
666,(주)녹십자,6280,2016,0
667,(주)녹십자,6280,2017,0
668,(주)녹십자,6280,2018,0
669,(주)녹십자,6280,2019,0
670,(주)녹십자엠에스,142280,2014,0
671,(주)녹십자엠에스,142280,2015,0
672,(주)녹십자엠에스,142280,2016,0
673,(주)녹십자엠에스,142280,2017,0
674,(주)녹십자엠에스,142280,2018,0
675,(주)녹십자엠에스,142280,2019,0
676,(주)녹십자웰빙,234690,2019,0
677,(주)녹십자홀딩스,5250,2011,0
678,(주)녹십자홀딩스,5250,2012,0
679,(주)녹십자홀딩스,5250,2013,0
680,(주)녹십자홀딩스,5250,2014,0
681,(주)녹십자홀딩스,5250,2015,1
682,(주)녹십자홀딩스,5250,2016,0
683,(주)녹십자홀딩스,5250,2017,0
684,(주)녹십자홀딩스,5250,2018,0
685,(주)녹십자홀딩스,5250,2019,0
686,(주)녹원씨엔아이,65560,2011,0
687,(주)녹원씨엔아이,65560,2012,0
688,(주)녹원씨엔아이,65560,2013,0
689,(주)녹원씨엔아이,65560,2014,0
690,(주)녹원씨엔아이,65560,2015,0
691,(주)녹원씨엔아이,65560,2016,0
692,(주)녹원씨엔아이,65560,2017,0
693,(주)녹원씨엔아이,65560,2018,1
694,(주)녹원씨엔아이,65560,2019,0
695,(주)농심,4370,2011,0
696,(주)농심,4370,2012,0
697,(주)농심,4370,2013,0
698,(주)농심,4370,2014,0
699,(주)농심,4370,2015,0
700,(주)농심,4370,2016,0
701,(주)농심,4370,2017,0
702,(주)농심,4370,2018,0
703,(주)농심,4370,2019,0
704,(주)농심홀딩스,72710,2011,0
705,(주)농심홀딩스,72710,2012,0
706,(주)농심홀딩스,72710,2013,0
