회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)골프존뉴딘홀딩스,121440,2011/12,46694787,-195848455,140825342,46128334,-173047588,139988485
(주)골프존뉴딘홀딩스,121440,2012/12,73950383,-103439750,54557320,61269978,-91334075,44389305
(주)골프존뉴딘홀딩스,121440,2013/12,72616582,-74006949,2900797,63430820,-90093517,26100797
(주)골프존뉴딘홀딩스,121440,2014/12,30858148,-27801730,-22570585,28790402,-75886421,35881327
(주)골프존뉴딘홀딩스,121440,2015/12,-16346800,11509974,-15462565,-15266617,10947085,-3988605
(주)골프존뉴딘홀딩스,121440,2016/12,5618275,-7704028,-4902802,15895535,-11134900,-18462843
(주)골프존뉴딘홀딩스,121440,2017/12,-1147880,21294649,-2702827,-1173648,-754187,16166173
(주)골프존뉴딘홀딩스,121440,2018/12,-4416464,-22304789,4997173,-20158087,-36752525,23661522
(주)골프존뉴딘홀딩스,121440,2019/12,2640435,3095111,-885975,5656323,15355506,-3462255
(주)광림,014200,2011/12,11879861,11284092,-19752117,,,
(주)광림,014200,2012/12,2753017,-281965,6477044,,,
(주)광림,014200,2013/12,14536213,-11827159,3852192,,,
(주)광림,014200,2014/12,-3582919,-19433678,18075310,-6344996,-13004183,20104756
(주)광림,014200,2015/12,-2663712,-86902095,87337649,,,
(주)광림,014200,2016/12,3288372,-23751125,19604477,3288372,-11978430,19604477
(주)광림,014200,2017/12,8658598,-12037167,-4919376,-15250032,-7625214,25745110
(주)광림,014200,2018/12,1251490,-1944893,-1338761,-13294713,-8169183,6217754
(주)광림,014200,2019/12,639491,-37280398,44087905,-12235587,-47636791,61311840
(주)광명전기,017040,2011/12,1814521,-1449039,4628091,1765403,-1505720,4339007
(주)광명전기,017040,2012/12,1183806,-1250745,3033140,3436380,-1024973,3121140
(주)광명전기,017040,2013/12,615721,1304261,-5077198,3129414,373757,-10142498
(주)광명전기,017040,2014/12,8403184,-5355171,-1234131,11464334,-7261188,-1734131
(주)광명전기,017040,2015/12,13723720,2980677,-2310000,18501076,2326377,-2420429
(주)광명전기,017040,2016/12,2813219,-7057653,-3000000,4502682,-35162672,23002124
(주)광명전기,017040,2017/12,5270038,-4084096,2000000,6647411,-8947369,5450000
(주)광명전기,017040,2018/12,-4019510,-1391132,0,-3815893,-2977933,1451000
(주)광명전기,017040,2019/12,23614371,-22239879,-53298,20495932,-24504535,2509805
(주)광무,029480,2011/12,9882003,-26650423,13527393,8460656,-26234397,14067393
(주)광무,029480,2012/12,-5777036,5189931,-4822357,-5808549,4070985,-4748591
(주)광무,029480,2013/12,-759831,-6156953,6615872,-971186,-4579970,5454586
(주)광무,029480,2014/12,1529973,2564009,-2908387,,,
(주)광무,029480,2015/12,-550286,2044961,-2056925,,,
(주)광무,029480,2016/12,154459,-3007014,7075165,,,
(주)광무,029480,2017/12,247467,-7185601,2533297,,,
(주)광무,029480,2018/12,-889612,-1332045,1642228,-1324743,-319877,2894228
(주)광무,029480,2019/12,-2567529,-18999421,35185574,-2435580,-17176123,34560606
(주)광주신세계,037710,2011/12,58007847,-54058672,-2000000,,,
(주)광주신세계,037710,2012/12,56319963,-43652264,-2000000,,,
