회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이보배,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,18-Dec,-0.58,-1.12,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,19-Dec,-1.05,0.11,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,Dec-00,1.65,,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,01-Dec,2.25,,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,02-Dec,1.57,,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,03-Dec,2.98,,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,04-Dec,2.68,,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,05-Dec,2.69,,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,06-Dec,-0.22,,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,07-Dec,1.46,1.42,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,08-Dec,7.2,6.79,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,09-Dec,3.98,3.3,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,10-Dec,3.66,3.69,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,11-Dec,1.83,1.41,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,12-Dec,1.44,0.57,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,13-Dec,1.01,-0.59,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,14-Dec,1.31,0.02,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,15-Dec,2.11,2.17,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,16-Dec,2.36,2.53,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,17-Dec,1.41,1.55,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,18-Dec,3.46,3.3,,,,,,,,,,,,,,,,,,,,,
(주)TCC스틸,2710,19-Dec,2.34,2.27,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,02-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,03-Dec,32.22,,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,04-Dec,83.72,,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,05-Dec,158.9,,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,06-Dec,61.81,,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,07-Dec,9.82,17.14,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,08-Dec,9.87,13.34,,,,,,,,,,,,,,,,,,,,,
