,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명
1395,(주)디아이,3160,2015/12,-4160073.0,-19738082.0,-1390371.0,-3160118.0,-21053637.0,-1301286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1396,(주)디아이,3160,2016/12,400130.0,-4946210.0,2566419.0,11491572.0,-9761575.0,499334.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1397,(주)디아이,3160,2017/12,-456785.0,25695431.0,-10075581.0,6161318.0,27840796.0,-12508566.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
1398,(주)디아이,3160,2018/12,-4299732.0,-10992805.0,903410.0,9181020.0,-23125328.0,1263410.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1399,(주)디아이,3160,2019/12,-9536249.0,1991288.0,8616071.0,-13009196.0,958714.0,7315760.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
1400,(주)디아이씨,92200,2011/12,-8278983.0,-77753688.0,84146994.0,5088916.0,-96010302.0,87686691.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1401,(주)디아이씨,92200,2012/12,-11967592.0,-23955989.0,34676845.0,4651019.0,-44641343.0,39331553.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1402,(주)디아이씨,92200,2013/12,53071904.0,-36995769.0,-14309596.0,45464978.0,-45923322.0,1018356.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1403,(주)디아이씨,92200,2014/12,-5913921.0,-21043678.0,24780680.0,20456055.0,-34314805.0,11727624.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1404,(주)디아이씨,92200,2015/12,16794017.0,-16498953.0,-164992.0,38200095.0,-29592378.0,-5947667.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1405,(주)디아이씨,92200,2016/12,5602213.0,-28814290.0,23550333.0,21265707.0,-118005346.0,106050720.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1406,(주)디아이씨,92200,2017/12,37716905.0,-94174826.0,55604514.0,27844240.0,-131269372.0,97212215.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1407,(주)디아이씨,92200,2018/12,31776734.0,-21664512.0,-6403922.0,33394836.0,-16407670.0,-7896993.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1408,(주)디아이씨,92200,2019/12,24962776.0,-21792588.0,-5276944.0,67831019.0,-15735053.0,-46914488.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1409,(주)디아크,78590,2011/12,638145.0,302636.0,-200000.0,,,,1.0,1.0,0.0,8.0,8.0,8.0,0.0
1410,(주)디아크,78590,2012/12,1086150.0,-2805794.0,1120000.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1411,(주)디아크,78590,2013/12,1194712.0,-515241.0,-1822727.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1412,(주)디아크,78590,2014/12,1015479.0,-906645.0,499999.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1413,(주)디아크,78590,2015/12,2794479.0,-2899158.0,1199996.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1414,(주)디아크,78590,2016/12,3541275.0,-855267.0,0.0,,,,1.0,0.0,9.0,8.0,8.0,8.0,0.0
1415,(주)디아크,78590,2017/12,4792235.0,-5545484.0,5000000.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1416,(주)디아크,78590,2018/12,1129831.0,-10133066.0,30999998.0,1439038.0,-6911812.0,28989998.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1417,(주)디아크,78590,2019/12,1010424.0,-16658958.0,884066.0,-4258678.0,-7162216.0,-1773541.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
1418,(주)디알비동일,4840,2011/12,24209057.0,-21483104.0,8209298.0,34167874.0,-15842060.0,7557888.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1419,(주)디알비동일,4840,2012/12,21042054.0,-19285297.0,-7076899.0,37223602.0,-28440137.0,-14920722.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1420,(주)디알비동일,4840,2013/12,13608321.0,-2008156.0,-1090626.0,19106141.0,14227448.0,-2256079.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
1421,(주)디알비동일,4840,2014/12,16903378.0,-13304670.0,-3152473.0,35553806.0,-21703131.0,1845196.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1422,(주)디알비동일,4840,2015/12,23289234.0,-35709432.0,-2885542.0,63485497.0,-36508228.0,-13500599.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1423,(주)디알비동일,4840,2016/12,10116356.0,-18963453.0,-1041142.0,62343702.0,-66428123.0,10703666.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1424,(주)디알비동일,4840,2017/12,12900572.0,-11570897.0,-1428189.0,22109975.0,-41169174.0,-7309300.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1425,(주)디알비동일,4840,2018/12,13216881.0,-6685388.0,-1834236.0,27836869.0,-44968241.0,19410152.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1426,(주)디알비동일,4840,2019/12,13188349.0,-6219114.0,-2405410.0,41831904.0,-41146629.0,4475864.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1427,(주)디알젬,263690,2018/12,2141095.0,-1137982.0,3445913.0,1998491.0,-1025641.0,3445913.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1428,(주)디알젬,263690,2019/12,3006309.0,-3893123.0,3264702.0,2980443.0,-3846322.0,3264702.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1429,(주)디알텍,214680,2015/12,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,0.0
1430,(주)디알텍,214680,2016/12,-6938894.0,6128225.0,657720.0,-7157699.0,6394374.0,657720.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
1431,(주)디알텍,214680,2017/12,-2534014.0,-5046551.0,7185715.0,-2838484.0,-3777431.0,7254116.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1432,(주)디알텍,214680,2018/12,2667206.0,-3845764.0,1451187.0,2981519.0,-4350074.0,1574907.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1433,(주)디알텍,214680,2019/12,5323705.0,-6432594.0,12589640.0,3599740.0,-3880665.0,12128312.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1434,(주)디앤씨미디어,263720,2017/12,3511343.0,-21373422.0,20629835.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1435,(주)디앤씨미디어,263720,2018/12,5177082.0,-1978237.0,0.0,4378481.0,-1541304.0,363073.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0
1436,(주)디앤씨미디어,263720,2019/12,6732624.0,-6903559.0,97704.0,5035332.0,-6740007.0,1658830.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1437,(주)디에스앤엘,141020,2013/12,-3184140.0,-1740538.0,4449259.0,-3141621.0,-1729082.0,4400647.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1438,(주)디에스앤엘,141020,2014/12,-4193020.0,-8597015.0,15100001.0,-4905022.0,-8014830.0,15236604.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1439,(주)디에스앤엘,141020,2015/12,447940.0,3181383.0,-600000.0,-285145.0,3676232.0,148442.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
1440,(주)디에스앤엘,141020,2016/12,-9260318.0,-18585325.0,21093714.0,-10427207.0,-19631386.0,22892783.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1441,(주)디에스앤엘,141020,2017/12,-9931766.0,10595430.0,7867267.0,-10682933.0,11238224.0,7890173.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
1442,(주)디에스앤엘,141020,2018/12,-25023458.0,-14403803.0,45974340.0,-27326933.0,-7916054.0,42485778.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1443,(주)디에스앤엘,141020,2019/12,-5728064.0,-31069840.0,22755579.0,-8358575.0,-27898843.0,21533334.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1444,(주)디에스케이,109740,2011/12,-4732611.0,-651184.0,-707208.0,-4751529.0,-130537.0,-760930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445,(주)디에스케이,109740,2012/12,243876.0,-174850.0,-1082208.0,134599.0,-177053.0,-961861.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1446,(주)디에스케이,109740,2013/12,11433942.0,-6442355.0,-1614042.0,11476992.0,-6443588.0,-1665551.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1447,(주)디에스케이,109740,2014/12,5304996.0,-1226436.0,-712493.0,5642724.0,-1231339.0,-781332.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1448,(주)디에스케이,109740,2015/12,486334.0,-1053848.0,427507.0,1045365.0,-1055541.0,427507.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1449,(주)디에스케이,109740,2016/12,6191665.0,-44178642.0,39932584.0,2226824.0,-28221111.0,53837096.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1450,(주)디에스케이,109740,2017/12,8389495.0,-355612.0,43664718.0,11021683.0,-7316470.0,33354498.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1451,(주)디에스케이,109740,2018/12,12954619.0,-14337009.0,-4990079.0,10929669.0,-18194590.0,4090557.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1452,(주)디에스케이,109740,2019/12,-344408.0,-31171040.0,-2515155.0,-5218522.0,-40601919.0,9244555.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1453,(주)디에이테크놀로지,196490,2014/12,6490703.0,-1415686.0,8743356.0,6426731.0,-1200726.0,8743356.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1454,(주)디에이테크놀로지,196490,2015/12,1931096.0,-13588355.0,3104480.0,1951071.0,-13519176.0,3104480.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1455,(주)디에이테크놀로지,196490,2016/12,-9310134.0,-6668590.0,20967228.0,-9129717.0,-6671048.0,20967228.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1456,(주)디에이테크놀로지,196490,2017/12,-2507938.0,-12415638.0,8037146.0,-2400960.0,-12440851.0,8037146.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1457,(주)디에이테크놀로지,196490,2018/12,1064649.0,-57344533.0,89804608.0,784597.0,-57329679.0,89804608.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1458,(주)디에이테크놀로지,196490,2019/12,18221940.0,-27183386.0,-14295352.0,21437094.0,-26830771.0,-16985721.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1459,(주)디에이피,66900,2011/12,18750505.0,-56820117.0,37391732.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1460,(주)디에이피,66900,2012/12,64532029.0,-44883542.0,-18906098.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1461,(주)디에이피,66900,2013/12,37309839.0,-45047606.0,7047940.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1462,(주)디에이피,66900,2014/12,20374545.0,-84219781.0,63818266.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1463,(주)디에이피,66900,2015/12,73093690.0,-24238278.0,-37611892.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1464,(주)디에이피,66900,2016/12,16567292.0,-5194717.0,-22678000.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1465,(주)디에이피,66900,2017/12,35552630.0,-12594054.0,-18264100.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1466,(주)디에이피,66900,2018/12,34924961.0,-16118698.0,-18272364.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
