회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
(주)고영테크놀러지,098460,2014/12,135531589,61382298,142840131,60262407,기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2015/12,138554625,56961633,145904431,56896177,기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2016/12,153254768,61186100,171793841,63856136,기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2017/12,188934907,73639302,203368626,71899522,기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2018/12,219818022,88093203,238208865,89336707,기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2019/12,209480760,81602341,222057035,80865005,기타 기계 및 장비 제조업
(주)골드앤에스,035290,2011/12,47522791,33020367,47522791,32544786,출판업
(주)골드앤에스,035290,2012/12,43889087,31475407,43889087,31012456,출판업
(주)골드앤에스,035290,2013/12,36607591,26382626,39548810,28127986,출판업
(주)골드앤에스,035290,2014/12,29428881,21706823,31287203,23453716,출판업
(주)골드앤에스,035290,2015/12,22197935,15542053,22197935,15199451,출판업
(주)골드앤에스,035290,2016/12,15893494,9636887,15893494,9347753,출판업
(주)골드앤에스,035290,2017/12,12802035,8220762,12802035,8002687,출판업
(주)골드앤에스,035290,2018/12,8680452,4348267,8680452,4405757,출판업
(주)골드앤에스,035290,2019/12,7642733,6293120,7642733,6293120,출판업
(주)골드퍼시픽,038530,2011/12,11236925,6637040,,,도매 및 상품 중개업
(주)골드퍼시픽,038530,2012/12,10491048,7335464,,,도매 및 상품 중개업
(주)골드퍼시픽,038530,2013/12,6488691,7623009,7167832,8242393,도매 및 상품 중개업
(주)골드퍼시픽,038530,2014/12,4855121,8095405,16486257,17957521,도매 및 상품 중개업
(주)골드퍼시픽,038530,2015/12,6121489,8377506,18635305,19680341,도매 및 상품 중개업
(주)골드퍼시픽,038530,2016/12,9588100,8116354,,,도매 및 상품 중개업
(주)골드퍼시픽,038530,2017/12,5031439,1988881,,,도매 및 상품 중개업
(주)골드퍼시픽,038530,2018/12,5580994,1408824,5708281,1408824,도매 및 상품 중개업
(주)골드퍼시픽,038530,2019/12,11323125,8029376,,,도매 및 상품 중개업
(주)골프존,215000,2015/12,184085342,60628407,201560389,80622893,출판업
(주)골프존,215000,2016/12,196864993,75591746,216964342,87427908,출판업
(주)골프존,215000,2017/12,171859065,61708564,200105321,69036405,출판업
(주)골프존,215000,2018/12,191571105,77184826,198705194,77580938,출판업
(주)골프존,215000,2019/12,239051647,96463711,247018099,93859565,출판업
