회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS)
(주)나노엔텍,39860,16-Dec,-17339841,27669734
(주)나노엔텍,39860,17-Dec,-799389,26788106
(주)나노엔텍,39860,18-Dec,3683640,38716209
(주)나노엔텍,39860,19-Dec,6191104,45112180
(주)나무가,190510,15-Dec,7763897,59685865
(주)나무가,190510,16-Dec,-3614485,71264453
(주)나무가,190510,17-Dec,-43568385,28107335
(주)나무가,190510,18-Dec,10339276,38511623
(주)나무가,190510,19-Dec,3214583,49646661
(주)나스미디어,89600,13-Dec,5614730,56196308
(주)나스미디어,89600,14-Dec,7956451,62569324
(주)나스미디어,89600,15-Dec,9916024,69530971
(주)나스미디어,89600,16-Dec,11499887,98227596
(주)나스미디어,89600,17-Dec,20237979,115839722
(주)나스미디어,89600,18-Dec,15458417,124908468
(주)나스미디어,89600,19-Dec,18656401,132550768
(주)나이벡,138610,11-Dec,-1834811,10301732
(주)나이벡,138610,12-Dec,-1407065,8856747
(주)나이벡,138610,13-Dec,-3849754,5822703
(주)나이벡,138610,14-Dec,-3620685,5078980
(주)나이벡,138610,15-Dec,-2425875,10818393
(주)나이벡,138610,16-Dec,-3027189,9841184
(주)나이벡,138610,17-Dec,-2567612,12361859
(주)나이벡,138610,18-Dec,-4146156,10575969
(주)나이벡,138610,19-Dec,-2726636,27404041
(주)나이스디앤비,130580,11-Dec,2483308,18442040
(주)나이스디앤비,130580,12-Dec,3024750,20520620
(주)나이스디앤비,130580,13-Dec,3012799,22820926
(주)나이스디앤비,130580,14-Dec,3625754,25404428
(주)나이스디앤비,130580,15-Dec,4269809,28572652
(주)나이스디앤비,130580,16-Dec,4342227,32232265
(주)나이스디앤비,130580,17-Dec,4960968,35612084
(주)나이스디앤비,130580,18-Dec,7840104,40955406
(주)나이스디앤비,130580,19-Dec,9097679,46837210
(주)나이스홀딩스,34310,11-Dec,6505010,257761410
(주)나이스홀딩스,34310,12-Dec,17518136,316297089
