회사명,거래소코드,회계년도,자본(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원),건설중인자산(IFRS연결)(천원),종업원수(IFRS연결),부가가치(IFRS연결)(백만원),기계장치(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),유형자산회전율(연결),순운전자본회전률(연결),운전자본회전률(연결),노동장비율(연결),기계장비율(연결),자본집약도(연결),총자본투자효율(연결),설비투자효율(연결),기계투자효율(연결),부가가치율(연결)
(주)TCC스틸,2710,14-Dec,189038004,551000563,233224033,283660429,151621286,3997004,,66638.24,106593093,518995240,0.941914174,-10.29009369,-20.58018737,,,,35.25123975,45.14043293,62.51647093,12.83985572
(주)TCC스틸,2710,15-Dec,86012476,376394571,240184174,153614700,71859909,0,,46811.29,77061586,495795871,1.317223757,5.727144316,11.45428863,,,,54.4238373,65.14242872,60.74529792,9.441645794
(주)TCC스틸,2710,16-Dec,103337634,282914735,120777516,94244692,64693517,101346,,81464.7,72966967,444453635,1.570980865,16.75108669,33.50217338,,,,78.83352545,126.1216317,111.646,18.32917848
(주)TCC스틸,2710,17-Dec,100915803,278692540,120243911,160048884,58943990,19800,,61493.36,78686241,391370092,1.404307744,-9.832190867,-19.66438173,,,,60.93531258,104.3601278,78.15007963,15.7123299
(주)TCC스틸,2710,18-Dec,112246210,304781579,152165969,93172096,55878504,306250,,75995.51,75812276,413176279,1.35564715,7.003715098,14.0074302,,,,67.70429933,136.7508145,100.2416944,18.39299927
(주)TCC스틸,2710,19-Dec,116843135,314210087,148991647,165995910,59322335,2512043,,74428.93,81021563,437173902,1.391342672,-25.70966481,-51.41932961,,,,63.69987419,131.0131094,91.86311303,17.02501674
(주)가비아,79940,11-Dec,48665742,64954440,28837190,13905604,22149161,0,,25788.11,1398205,52838864,0.813475784,3.538730849,7.077461698,,,,52.99027394,116.429286,1844.372606,48.80519384
(주)가비아,79940,12-Dec,58945247,85244515,31997486,14858349,37833915,0,,31058.09,0,69058144,0.810118328,4.029266118,8.058532235,,,,52.68972747,82.09060574,#DIV/0!,44.97382669
(주)가비아,79940,13-Dec,68600227,91231294,37411881,14999568,37047584,0,,32828.8,0,70675565,0.774685548,3.153425753,6.306851506,,,,47.85523523,88.61252599,#DIV/0!,46.45000008
(주)가비아,79940,14-Dec,75509702,98544072,41920706,16229926,37099200,0,,34179.94,0,80432047,0.81620381,3.130774815,6.26154963,,,,45.26562693,92.13120499,#DIV/0!,42.49542474
(주)가비아,79940,15-Dec,84096148,105081568,52239105,13210992,36916970,0,,41698.24,0,91648622,0.872166487,2.348271924,4.696543848,,,,49.58400711,112.951415,#DIV/0!,45.4979454
(주)가비아,79940,16-Dec,95951841,125796754,60241586,20386590,43221838,0,,45412.89,0,102178978,0.812254488,2.563768367,5.127536733,,,,47.32883656,105.069317,#DIV/0!,44.4444551
(주)가비아,79940,17-Dec,99896520,133382584,66113388,29400833,45452326,579154,,48683,0,116217941,0.871312712,3.165618438,6.331236875,,,,48.73342935,108.4902133,#DIV/0!,41.88940157
(주)가비아,79940,18-Dec,114187490,151440505,78058272,29792809,49107084,3862712,,62241.08,0,128728438,0.850026471,2.667092161,5.334184321,,,,54.5077924,137.566458,#DIV/0!,48.35068379
(주)가비아,79940,19-Dec,134959139,199916131,86880807,43098923,85359914,21744142,,133089.93,0,148306878,0.741845479,3.387402835,6.774805671,,,,98.61498153,209.209015,#DIV/0!,89.73955341
(주)강스템바이오텍,217730,15-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)강스템바이오텍,217730,16-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)강스템바이오텍,217730,17-Dec,24482163,47198979,25246012,6368374,13229478,7327062,,-646.49,0,9132939,0.193498656,0.483796702,0.967593403,,,,-2.6406572,-10.95297248,#DIV/0!,-7.078663287
(주)강스템바이오텍,217730,18-Dec,47581374,73194018,48992790,20056267,15140205,9547126,,-3330.3,0,9165454,0.125221353,0.316743446,0.633486891,,,,-6.999167363,-59.54323191,#DIV/0!,-36.33535229
(주)강스템바이오텍,217730,19-Dec,68719236,113643697,55408095,20598774,31219524,25963956,,-13446.01,0,6004584,0.052836929,0.172499314,0.344998628,,,,-19.56658831,-255.8431363,#DIV/0!,-223.9290848
(주)강원랜드,35250,11-Dec,2257362696,2711401782,1163791156,440884890,1312308962,111936204,,778291.81,392104627,1265686425,0.466801502,1.750830619,3.501661238,,,,34.47792468,64.83751025,198.4908508,61.49167713
(주)강원랜드,35250,12-Dec,2372026990,2906655321,1165450728,518388305,1357670542,34660762,,712817.68,453309474,1296191223,0.445939088,2.003193474,4.006386948,,,,30.05099364,53.87848909,157.2474702,54.99325002
(주)강원랜드,35250,13-Dec,2517696496,3102036846,1080401909,570217325,1385719165,70878212,,837925.02,476102882,1361286598,0.438836373,2.668223699,5.336447398,,,,33.28141503,63.72824166,175.9966284,61.55390211
(주)강원랜드,35250,14-Dec,2705357485,3375127289,1371825587,624516570,1387584592,72921157,,904075.49,481401114,1496541441,0.443402963,2.002573777,4.005147555,,,,33.41796768,68.76858867,187.800872,60.41098931
(주)강원랜드,35250,15-Dec,2997755205,3690791830,1750420316,664599978,1353560925,63789006,,1021274.04,493032951,1633716839,0.442646704,1.504592226,3.009184451,,,,34.06795986,79.18253026,207.1411328,62.51230419
(주)강원랜드,35250,16-Dec,3252727459,3978987574,1809513458,718893173,1315715882,52323443,,1043222,496003933,1696532511,0.42637291,1.555566621,3.111133241,,,,32.07222287,82.57307609,210.3253484,61.49142402
(주)강원랜드,35250,17-Dec,3501235933,4185657487,2164296051,681337932,1297980610,93200856,,1000137.64,505944287,1604470055,0.383325693,1.081938886,2.163877772,,,,28.56527407,83.01414733,197.6774253,62.33445348
(주)강원랜드,35250,18-Dec,3586777089,4231241354,1759033105,636028473,1314038393,29571131,,833429.97,197980873,1438059299,0.339866999,1.280546187,2.561092373,,,,23.2361797,64.88526369,420.9648929,57.95518798
(주)강원랜드,35250,19-Dec,3717759076,4438119306,1878191161,651342607,1370568026,37071729,,908009,569705642,1520080449,0.34250554,1.2390123,2.478024601,,,,24.42355681,68.09235257,159.3821323,59.73427266
(주)강원에너지,114190,11-Nov,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)강원에너지,114190,12-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
