회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),,,,
(주)국동,5320,14-Dec,5.87,5.32,,,,
(주)국동,5320,15-Dec,4.23,4.08,,,,
(주)국동,5320,16-Dec,4.82,5.25,,,,
(주)국동,5320,17-Dec,-1.26,-2.28,,,,
(주)국동,5320,18-Dec,1.01,2.53,,,,
(주)국동,5320,19-Dec,-6.67,-1.78,,,,
(주)국보,1140,11-Dec,0.81,0.75,,,,
(주)국보,1140,12-Dec,0.51,0.64,,,,
(주)국보,1140,13-Dec,0.32,0.36,,,,
(주)국보,1140,14-Dec,-1.1,-1.31,,,,
(주)국보,1140,15-Dec,-1.41,-1.55,,,,
(주)국보,1140,16-Dec,-0.35,0.14,,,,
(주)국보,1140,17-Dec,-2.36,-2.66,,,,
(주)국보,1140,18-Dec,-3.67,-4.03,,,,
(주)국보,1140,19-Dec,-0.74,-0.35,,,,
(주)국보디자인,66620,11-Dec,235.83,238.18,,,,
(주)국보디자인,66620,12-Dec,2055.61,2003.29,,,,
(주)국보디자인,66620,13-Dec,1366.16,1539.88,,,,
(주)국보디자인,66620,14-Dec,1414.92,1917.05,,,,
(주)국보디자인,66620,15-Dec,998.53,1867.07,,,,
(주)국보디자인,66620,16-Dec,9744.77,6455.77,,,,
(주)국보디자인,66620,17-Dec,3662.13,3543.84,,,,
(주)국보디자인,66620,18-Dec,X,382.19,,,,
(주)국보디자인,66620,19-Dec,675.37,592.26,,,,
(주)국순당,43650,11-Dec,X,167.22,,,,
(주)국순당,43650,12-Dec,X,172.69,,,,
(주)국순당,43650,13-Dec,X,9.21,,,,
(주)국순당,43650,14-Dec,X,9.17,,,,
(주)국순당,43650,15-Dec,X,-334.84,,,,
(주)국순당,43650,16-Dec,X,-327.25,,,,
(주)국순당,43650,17-Dec,X,-12.28,,,,
(주)국순당,43650,18-Dec,X,-7.85,,,,
(주)국순당,43650,19-Dec,X,-4.32,,,,
(주)국영지앤엠,6050,11-Dec,-170.81,,,,,
