회사명,거래소코드,회계년도,[제조]자본(*)(IFRS2)
(주)남선알미늄,8350,Dec-18,168875400
(주)남성,4270,Dec-10,85593252
(주)남성,4270,Dec-11,80448918
(주)남성,4270,Dec-12,81342149
(주)남성,4270,Dec-13,81514206
(주)남성,4270,Dec-14,80188502
(주)남성,4270,Dec-15,82206186
(주)남성,4270,Dec-16,74053481
(주)남성,4270,Dec-17,87590384
(주)남성,4270,Dec-18,83103125
(주)내츄럴엔도텍,168330,Dec-13,50779888
(주)내츄럴엔도텍,168330,Dec-14,71648115
(주)내츄럴엔도텍,168330,Dec-15,49082284
(주)내츄럴엔도텍,168330,Dec-16,46208860
(주)내츄럴엔도텍,168330,Dec-17,45760762
(주)내츄럴엔도텍,168330,Dec-18,34261443
(주)네오리진,94860,Dec-10,21202293
(주)네오리진,94860,Dec-11,23488831
(주)네오리진,94860,Dec-12,26662888
(주)네오리진,94860,Dec-13,22428980
(주)네오리진,94860,Dec-14,11993150
(주)네오리진,94860,Dec-15,10969912
(주)네오리진,94860,Dec-16,11809547
(주)네오리진,94860,Dec-17,14601651
(주)네오리진,94860,Dec-18,11789790
(주)네오셈,253590,Dec-18,
(주)네오오토,212560,Dec-15,61349142
(주)네오오토,212560,Dec-16,69048419
(주)네오오토,212560,Dec-17,72509574
(주)네오오토,212560,Dec-18,77540065
(주)네오위즈,95660,Dec-10,236053330
(주)네오위즈,95660,Dec-11,268512261
(주)네오위즈,95660,Dec-12,305625409
(주)네오위즈,95660,Dec-13,360058072
(주)네오위즈,95660,Dec-14,362210560
(주)네오위즈,95660,Dec-15,359269020
(주)네오위즈,95660,Dec-16,355597288
(주)네오위즈,95660,Dec-17,330102352
(주)네오위즈,95660,Dec-18,325841070
(주)네오위즈홀딩스,42420,Dec-10,217274052
(주)네오위즈홀딩스,42420,Dec-11,242704495
(주)네오위즈홀딩스,42420,Dec-12,265778788
(주)네오위즈홀딩스,42420,Dec-13,262310566
(주)네오위즈홀딩스,42420,Dec-14,272035937
(주)네오위즈홀딩스,42420,Dec-15,347681208
(주)네오위즈홀딩스,42420,Dec-16,325184384
(주)네오위즈홀딩스,42420,Dec-17,311520065
(주)네오위즈홀딩스,42420,Dec-18,303628909
(주)네오티스,85910,Dec-10,54554307
(주)네오티스,85910,Dec-11,59050937
(주)네오티스,85910,Dec-12,60149295
(주)네오티스,85910,Dec-13,60510748
(주)네오티스,85910,Dec-14,63323708
(주)네오티스,85910,Dec-15,58634491
(주)네오티스,85910,Dec-16,56144079
(주)네오티스,85910,Dec-17,46102243
(주)네오티스,85910,Dec-18,45394703
(주)네오팜,92730,Dec-10,29452582
(주)네오팜,92730,Dec-11,29871983
(주)네오팜,92730,Dec-12,29923684
(주)네오팜,92730,Dec-13,30335980
(주)네오팜,92730,Dec-14,31145609
(주)네오팜,92730,Dec-15,32623689
(주)네오팜,92730,Dec-16,39065380
(주)네오팜,92730,Dec-17,48683943
(주)네오팜,92730,Dec-18,60831086
(주)네오펙트,290660,Dec-18,34312283
(주)네온테크,306620,Dec-18,
(주)네이블커뮤니케이션즈,153460,Dec-12,23527466
(주)네이블커뮤니케이션즈,153460,Dec-13,24943154
(주)네이블커뮤니케이션즈,153460,Dec-14,24709644
(주)네이블커뮤니케이션즈,153460,Dec-15,25447253
(주)네이블커뮤니케이션즈,153460,Dec-16,33041386
(주)네이블커뮤니케이션즈,153460,Dec-17,26705616
(주)네이블커뮤니케이션즈,153460,Dec-18,24364215
(주)네이처셀,7390,Dec-10,381558
(주)네이처셀,7390,Dec-11,8001110
(주)네이처셀,7390,Dec-12,8624830
(주)네이처셀,7390,Dec-13,10771406
(주)네이처셀,7390,Dec-14,13748504
(주)네이처셀,7390,Dec-15,31686993
(주)네이처셀,7390,Dec-16,34018288
(주)네이처셀,7390,Dec-17,39481908
(주)네이처셀,7390,Dec-18,43128901
(주)네패스,33640,Dec-10,144267207
(주)네패스,33640,Dec-11,157760214
(주)네패스,33640,Dec-12,175123693
(주)네패스,33640,Dec-13,154117489
(주)네패스,33640,Dec-14,118479769
(주)네패스,33640,Dec-15,126953395
(주)네패스,33640,Dec-16,131855159
(주)네패스,33640,Dec-17,139184957
(주)네패스,33640,Dec-18,165864190
(주)넥센,5720,Dec-10,249506670
(주)넥센,5720,Dec-11,258163833
(주)넥센,5720,Dec-12,406540622
(주)넥센,5720,Dec-13,421282272
(주)넥센,5720,Dec-14,442228920
(주)넥센,5720,Dec-15,460152480
(주)넥센,5720,Dec-16,482438954
(주)넥센,5720,Dec-17,537643690
(주)넥센,5720,Dec-18,558546695
(주)넥스턴바이오사이언스,89140,Dec-10,21980242
(주)넥스턴바이오사이언스,89140,Dec-11,23763867
(주)넥스턴바이오사이언스,89140,Dec-12,24177393
(주)넥스턴바이오사이언스,89140,Dec-13,26451501
(주)넥스턴바이오사이언스,89140,Dec-14,29076002
(주)넥스턴바이오사이언스,89140,Dec-15,30041235
(주)넥스턴바이오사이언스,89140,Dec-16,89891577
(주)넥스턴바이오사이언스,89140,Dec-17,91765028
(주)넥스턴바이오사이언스,89140,Dec-18,95512901
(주)넥스트아이,137940,Dec-11,24068707
(주)넥스트아이,137940,Dec-12,28840533
(주)넥스트아이,137940,Dec-13,33063699
(주)넥스트아이,137940,Dec-14,36263075
(주)넥스트아이,137940,Dec-15,37530245
(주)넥스트아이,137940,Dec-16,58584366
(주)넥스트아이,137940,Dec-17,65195189
(주)넥스트아이,137940,Dec-18,60840445
(주)넥스트엔터테인먼트월드,160550,Dec-14,124817520
(주)넥스트엔터테인먼트월드,160550,Dec-15,129733401
(주)넥스트엔터테인먼트월드,160550,Dec-16,132238969
(주)넥스트엔터테인먼트월드,160550,Dec-17,128169010
(주)넥스트엔터테인먼트월드,160550,Dec-18,118751443
(주)넥슨게임즈,225570,Dec-15,
(주)넥슨게임즈,225570,Dec-16,
(주)넥슨게임즈,225570,Dec-17,29507506
(주)넥슨게임즈,225570,Dec-18,18668531
(주)넵튠,217270,Dec-15,
(주)넵튠,217270,Dec-16,42061531
(주)넵튠,217270,Dec-17,92165486
(주)넵튠,217270,Dec-18,82121215
(주)노루페인트,90350,Dec-10,217948168
(주)노루페인트,90350,Dec-11,218898181
(주)노루페인트,90350,Dec-12,218703476
(주)노루페인트,90350,Dec-13,224963718
(주)노루페인트,90350,Dec-14,232266487
(주)노루페인트,90350,Dec-15,244314331
(주)노루페인트,90350,Dec-16,266158031
(주)노루페인트,90350,Dec-17,282180816
(주)노루페인트,90350,Dec-18,291347902
(주)노루홀딩스,320,Dec-10,185647746
(주)노루홀딩스,320,Dec-11,185303977
(주)노루홀딩스,320,Dec-12,196270561
(주)노루홀딩스,320,Dec-13,212564022
(주)노루홀딩스,320,Dec-14,223859960
(주)노루홀딩스,320,Dec-15,229341321
(주)노루홀딩스,320,Dec-16,295177120
