,회사명,거래소코드,회계년도,이자보상배율,cashflow_매출액비율,cashflow_부채비율,당좌비율,매입채무회전율,매출액순이익률,매출액총이익률,매출액영업이익률,매출액증가율,매출원가대매출액비율,매출채권회전율,부채비율,순이익증가율,영업이익증가율,유동부채,유동비율,유동자산구성비율,유동자산증가율,유형자산증가율,유형자산회전율,자기자본구성비율,자본증가율,타인자본회전율,재고자산_유동자산비율,재고자산증가율,재고자산회전율,차입금의존도,총자본영업이익률,총자산순이익률,총자산증가율,총자산회전율,현금비율
3913,(주)하이스틸,71090,2015,-3.18,7.328535576,9.265265484,46.58544496,7.845699933,-6.377296941,3.704358148,-5.387936506,0,96.29564185,2.846345838,86.07932455,0,-102.6232975,79.40999705,78.24575619,28.74330488,0,0,3.594544531,53.74052181,0,2.940946709,40.46265609,0,9.792898743,24.16032908,-2.931784143,-3.729735517,0,0.905933736,10.44531639
3914,(주)하이스틸,71090,2016,2.93,6.738723206,8.577854285,71.40955707,8.658369794,2.617384682,13.43223098,4.746718336,0,86.56776902,4.627577085,92.90753633,0,-97.56894312,67.70102389,106.9080759,34.85840405,-1.18E-06,0,4.217651532,51.83830653,0,2.871798587,33.20471212,0,11.42304135,31.12253062,2.806825779,1.604613169,0,0.974820089,13.04133504
3915,(주)하이스틸,71090,2017,4.12,1.057082239,2.055951846,77.17656884,8.391597069,3.95340932,12.66393668,5.17467951,0,87.33606332,3.910968812,80.23938356,1.051866841,-97.34393892,69.3998828,119.5591904,36.93852868,-1.358624568,-0.244622009,4.160930786,55.48176987,0.111707638,3.004532373,35.93732371,0,8.880537093,30.18872281,4.024680463,3.41192937,-0.082711638,0.961629582,17.88087057
3916,(주)하이스틸,71090,2018,-1.89,3.316580706,5.407351372,84.4085735,11.2715829,-4.198971382,2.523692633,-3.053145274,0.79328006,97.47630737,4.055807454,81.47181908,0,-101.5036188,55.40144464,139.1697485,34.61498537,-0.260905475,-0.6021081,5.325769583,55.10497471,0.649166869,4.105958785,39.45140681,-3.115012106,11.33103806,28.56948796,-2.027771001,-3.073513722,0.088910187,1.229317441,31.150358
3917,(주)하이스틸,71090,2019,0.4,2.495940956,5.013664386,91.60896073,11.09222097,0.014720063,5.620152004,0.517539169,-0.380095284,94.379848,3.942263643,83.549152,-1812.626038,-99.74055906,55.4668027,140.6938586,35.5220431,-4.356077835,-0.577544191,3.35520107,54.48131953,0.30739072,2.115629771,36.47668594,-15.61304697,11.2353841,31.23473871,0.434286397,0.013459232,-1.370159888,0.908642305,32.60979104
3918,(주)하이트론씨스템즈,19490,2011,-6.23,3.047567671,10.199213,138.4562233,16.25417476,-0.839257078,7.200859869,-2.326626796,-0.118590965,92.79914013,12.28920033,64.04689389,0,-101.149936,85.91308942,198.7785903,66.674382,-1.387530934,-2.570497855,2.564626787,60.95817883,-2.277042476,1.897134137,30.77350302,-13.32863046,408.4321425,6.837083475,-2.49349273,-1.096575081,-2.192687751,0.622687442,16.28067184
3919,(주)하이트론씨스템즈,19490,2012,-22.7,4.873123271,18.87500374,165.5993749,17.18398564,0.200327266,7.498662763,-1.860453858,-0.280148388,92.50133724,13.67247007,52.48564179,-33.61027739,-100.9216535,82.28942696,229.4938956,65.00200251,-1.678964019,-2.409441986,1.952397569,65.57994499,-2.254554918,1.949788561,28.31692122,-13.31350784,343.921075,0.863097278,-1.891076374,0.267073792,-2.498151306,0.587032725,35.36508867
3920,(주)하이트론씨스템즈,19490,2013,-653.56,3.402041405,14.3846894,158.3432174,19.02085669,-6.603272764,5.008804167,-5.920264809,-0.212287973,94.99119583,13.98759959,45.6090471,0,-102.8750278,74.43214215,253.3287237,59.06192425,-1.931875631,-2.098302109,1.817449923,68.67705132,-3.728985118,1.306679059,38.23358639,-13.18070629,1260.046845,0.166099447,-5.708513465,-8.745462262,-3.285881916,0.50330797,27.61717039
3921,(주)하이트론씨스템즈,19490,2014,-289.68,-3.259338324,-13.18715162,166.1659523,13.79256623,-8.605577331,5.30087139,-7.576706224,0.456090237,94.69912861,12.12560243,40.66026571,0,-103.6500754,66.21277995,281.2085961,53.82316017,-0.785490816,-1.442825357,1.732523441,71.09328245,-4.239410128,1.028071175,41.23396264,-13.76259387,389.1743239,0.086014485,-6.232212046,-10.0646887,-3.034554297,0.444488245,31.83431987
3922,(주)하이트론씨스템즈,19490,2015,-75.12,-6.700595985,-22.63161426,124.7283523,15.50027262,-10.7029051,6.084769497,-10.75431995,-0.33371146,93.9152305,13.62716214,41.73883251,0,-105.1027756,70.1662952,237.3727576,49.04682141,-4.98592485,-1.323209471,1.649949194,70.55229554,-1.595587124,0.804116422,49.94486067,-12.46277631,1085.540627,5.475520677,-7.580456396,-10.64523418,-2.127034378,0.397159516,19.16286359
3923,(주)하이트론씨스템즈,19490,2016,-94.95,-15.91285959,-33.21374371,174.3750387,15.87172344,7.324735108,4.869764102,-19.47064448,-0.785489584,95.1302359,13.96457731,44.60200965,51.40752134,-108.8716395,77.97297844,258.9748162,62.28475435,-2.625936996,-1.337374034,1.836395624,69.1553321,2.074495918,0.883033893,33.54813607,-6.330480002,6275.642158,5.423661706,-9.063049623,4.715650625,0.136134666,0.413905259,19.16974531
3924,(주)하이트론씨스템즈,19490,2017,-52.15,-26.50506325,-39.51144984,90.13731329,15.13247701,-30.26396806,-0.062560112,-30.36645603,-0.228018088,100.0625601,14.4395267,77.12326002,0,-113.1818046,83.05020165,163.7045812,59.19858231,0.767233153,-1.067554985,1.892600861,56.45785878,0.750103301,0.68331373,44.59687837,-5.769120743,13585.27805,16.32643838,-17.45595502,-19.64399311,0.737243216,0.356548101,14.02308657
