,회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS연결2),[제조]자본(*)(IFRS2),자기자본순이익률(개별),자기자본순이익률(연결)
114,(주)가비아,79940,2014/12,75509702.0,6752737.0,38147677.0,3076978.0,68600227.0,34822978.0,0.08433466850475715,0.09371647112531711
115,(주)가비아,79940,2015/12,84096148.0,8530281.0,42470259.0,4288423.0,75509702.0,38147677.0,0.10638880658021312,0.10689183385195468
116,(주)가비아,79940,2016/12,95951841.0,10177685.0,45413712.0,3544032.0,84096148.0,42470259.0,0.08065252308637715,0.11305524773175889
117,(주)가비아,79940,2017/12,99896520.0,9669613.0,47662984.0,2493743.0,95951841.0,45413712.0,0.05358469105951075,0.09874591700055126
118,(주)가비아,79940,2018/12,114187490.0,15340647.0,49832912.0,2762732.0,99896520.0,47662984.0,0.05667381117252361,0.1433142718132008
119,(주)가비아,79940,2019/12,134959139.0,21102390.0,54084066.0,4654769.0,114187490.0,49832912.0,0.08958630417447282,0.16939735516148605
120,(주)강스템바이오텍,217730,2015/12,,,21237036.0,-5754141.0,,,,
121,(주)강스템바이오텍,217730,2016/12,,,22976911.0,-8300375.0,,21237036.0,-0.37546410412081055,
122,(주)강스템바이오텍,217730,2017/12,24482163.0,-11531949.0,24668128.0,-10855842.0,,22976911.0,-0.45569663611777084,
123,(주)강스템바이오텍,217730,2018/12,47581374.0,-14294032.0,47944961.0,-13500909.0,24482163.0,24668128.0,-0.37185882561751366,-0.3967063676044655
124,(주)강스템바이오텍,217730,2019/12,68719236.0,-26394472.0,70845209.0,-25001590.0,47581374.0,47944961.0,-0.42093701861020993,-0.4539008350859037
126,(주)강원랜드,35250,2011/12,2257362696.0,381175313.0,2278202202.0,393401121.0,2099210537.0,2107623213.0,0.17939661695357292,0.174988594298238
127,(주)강원랜드,35250,2012/12,2372026990.0,306228988.0,2383160603.0,296503993.0,2257362696.0,2278202202.0,0.12721772812103604,0.13229777952203267
128,(주)강원랜드,35250,2013/12,2517696496.0,297596347.0,2523962938.0,293129468.0,2372026990.0,2383160603.0,0.11947099580878476,0.12172318040153488
129,(주)강원랜드,35250,2014/12,2705357485.0,359348568.0,2716175018.0,363815729.0,2517696496.0,2523962938.0,0.13885730950400954,0.13760093972117038
130,(주)강원랜드,35250,2015/12,2997755205.0,441629101.0,2997442337.0,430459518.0,2705357485.0,2716175018.0,0.15067845508530733,0.15487300532369455
131,(주)강원랜드,35250,2016/12,3252727459.0,454533659.0,3252738063.0,454998593.0,2997755205.0,2997442337.0,0.14559534729589566,0.14543953913124555
132,(주)강원랜드,35250,2017/12,3501235933.0,437540507.0,3500789656.0,437096330.0,3252727459.0,3252738063.0,0.1294423738782614,0.12956555480246226
133,(주)강원랜드,35250,2018/12,3586777089.0,297236881.0,3586452533.0,297320114.0,3501235933.0,3500789656.0,0.08390290780847479,0.08387029766379568
134,(주)강원랜드,35250,2019/12,3717759076.0,334653892.0,3718433001.0,335609508.0,3586777089.0,3586452533.0,0.0918863153811056,0.09162906020056648
136,(주)강원에너지,114190,2011/11,,,24502434.0,5754715.0,,19268894.0,0.26294450102130784,
137,(주)강원에너지,114190,2012/12,,,36107930.0,8974549.0,,24502434.0,0.2961390893478218,
138,(주)강원에너지,114190,2013/12,,,45877155.0,3922208.0,,36107930.0,0.09568101319892515,
139,(주)강원에너지,114190,2014/12,,,50445491.0,1123194.0,,45877155.0,0.02332149388836349,
140,(주)강원에너지,114190,2015/12,56583901.0,102482.0,54880924.0,885783.0,,50445491.0,0.016819769285795972,
141,(주)강원에너지,114190,2016/12,55088690.0,-1125371.0,53746356.0,-762058.0,56583901.0,54880924.0,-0.014030692842534583,-0.020154829218568055
142,(주)강원에너지,114190,2017/12,48303010.0,-6451819.0,47117020.0,-6291307.0,55088690.0,53746356.0,-0.12474908632842113,-0.12480342232500288
143,(주)강원에너지,114190,2018/12,50203707.0,1708887.0,49286354.0,1977524.0,48303010.0,47117020.0,0.041026032968514155,0.03469584718776081
144,(주)강원에너지,114190,2019/12,21124556.0,-35647438.0,22904034.0,-33460765.0,50203707.0,49286354.0,-0.9270144108381853,-0.9995319246733935
146,(주)갤럭시아에스엠,11420,2011/12,25274017.0,2909464.0,24539613.0,3000743.0,23314808.0,22598240.0,0.12731776307249293,0.11975856588423367
147,(주)갤럭시아에스엠,11420,2012/12,25907252.0,389023.0,25153401.0,223810.0,25274017.0,24539613.0,0.009007704785223935,0.015201772351521804
148,(주)갤럭시아에스엠,11420,2013/12,21493102.0,-1736750.0,22472626.0,-1420345.0,25907252.0,25153401.0,-0.059645747901667295,-0.07328004343596252
149,(주)갤럭시아에스엠,11420,2014/12,23205508.0,-255270.0,23402468.0,-931106.0,21493102.0,22472626.0,-0.040593093934586814,-0.011421831685593803
150,(주)갤럭시아에스엠,11420,2015/12,49739042.0,1863773.0,50665218.0,2575902.0,23205508.0,23402468.0,0.06955535238403425,0.051101089800403184
151,(주)갤럭시아에스엠,11420,2016/12,44846832.0,-1562620.0,44846832.0,-1562620.0,49739042.0,50665218.0,-0.032720897520260535,-0.033041297477464766
152,(주)갤럭시아에스엠,11420,2017/12,40494336.0,-5899738.0,40494336.0,-5899738.0,44846832.0,44846832.0,-0.1382624151570084,-0.1382624151570084
153,(주)갤럭시아에스엠,11420,2018/12,26472162.0,-16003255.0,26797332.0,-15678085.0,40494336.0,40494336.0,-0.46597403411073124,-0.4779480927911147
154,(주)갤럭시아에스엠,11420,2019/12,21798750.0,-1375316.0,21798750.0,-1375316.0,26472162.0,26797332.0,-0.05660192934895451,-0.056983220039430786
156,(주)경농,2100,2011/12,142986220.0,509664.0,146016982.0,3154155.0,147965840.0,148352110.0,0.021429933275739426,0.0035034225225970216
157,(주)경농,2100,2012/12,151738994.0,10310339.0,151500247.0,6590012.0,142986220.0,146016982.0,0.04430003615017536,0.06996577496759405
158,(주)경농,2100,2013/12,163157512.0,13950249.0,162696463.0,13751960.0,151738994.0,151500247.0,0.08753726288222433,0.08860211996128023
159,(주)경농,2100,2014/12,168915900.0,7099305.0,168998955.0,9271741.0,163157512.0,162696463.0,0.05590514970574601,0.04275744304394957
160,(주)경농,2100,2015/12,174667648.0,6980392.0,173056378.0,6488880.0,168915900.0,168998955.0,0.03794052817764429,0.04063286522671336
161,(주)경농,2100,2016/12,183969132.0,6365805.0,176722752.0,5770891.0,174667648.0,173056378.0,0.03299734320912743,0.03550001201773003
162,(주)경농,2100,2017/12,192152986.0,10079442.0,182959158.0,11539079.0,183969132.0,176722752.0,0.06416268752576408,0.05359664597017929
163,(주)경농,2100,2018/12,201453891.0,4878426.0,187066687.0,9613575.0,192152986.0,182959158.0,0.051961640679450374,0.02478831689721722
164,(주)경농,2100,2019/12,201885272.0,4014664.0,190892614.0,7061857.0,201453891.0,187066687.0,0.037368346175452365,0.019907137061223087
166,(주)경동나비엔,9450,2011/12,168114574.0,9467023.0,143268094.0,9445090.0,160449250.0,136756722.0,0.0674589497810794,0.057626691123487776
167,(주)경동나비엔,9450,2012/12,175875394.0,9169965.0,152201349.0,9214927.0,168114574.0,143268094.0,0.06237482229253737,0.05331530482307554
168,(주)경동나비엔,9450,2013/12,187280988.0,11129597.0,161494784.0,9251575.0,175875394.0,152201349.0,0.058984310144492604,0.06129368807292501
169,(주)경동나비엔,9450,2014/12,190021880.0,9380054.0,167984480.0,9082312.0,187280988.0,161494784.0,0.05513131169310855,0.04972161515612969
170,(주)경동나비엔,9450,2015/12,206076609.0,16752000.0,185208256.0,19320742.0,190021880.0,167984480.0,0.10940622516087081,0.08458502349904193
171,(주)경동나비엔,9450,2016/12,238762190.0,37469924.0,210193123.0,28636194.0,206076609.0,185208256.0,0.14484620196531992,0.16846517922551985
172,(주)경동나비엔,9450,2017/12,256506497.0,27019124.0,222028494.0,16291264.0,238762190.0,210193123.0,0.07538384643079987,0.10910895321754917
173,(주)경동나비엔,9450,2018/12,280103616.0,24748538.0,240355951.0,22818064.0,256506497.0,222028494.0,0.09869736859335741,0.09224029663414114
174,(주)경동나비엔,9450,2019/12,301042624.0,27852090.0,254559521.0,20474157.0,280103616.0,240355951.0,0.08273799530761083,0.09585225914909129
175,(주)경동도시가스,267290,2017/12,294331882.0,17798556.0,292628586.0,17678888.0,,,,
176,(주)경동도시가스,267290,2018/12,320490074.0,34164798.0,318760537.0,33981432.0,294331882.0,292628586.0,0.11116138878381715,0.11113720863930891
177,(주)경동도시가스,267290,2019/12,339612043.0,24638348.0,337701666.0,24355132.0,320490074.0,318760537.0,0.07420117072604712,0.07465011053736706
179,(주)경동인베스트,12320,2011/12,407862543.0,30327559.0,412912132.0,50053289.0,376913014.0,365245365.0,0.12864565128002617,0.07728976451798435
