,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS2)
187,(주)경인양행,12610,Dec-14,9090269.0,186433506.0,185903130.0
188,(주)경인양행,12610,Dec-15,107330.0,185903130.0,191021720.0
189,(주)경인양행,12610,Dec-16,3724987.0,191021720.0,190844102.0
190,(주)경인양행,12610,Dec-17,531273.0,190844102.0,198237400.0
191,(주)경인양행,12610,Dec-18,7419717.0,198237400.0,
192,(주)경인양행,12610,Dec-19,4797711.0,201086327.0,
193,(주)고려시멘트,198440,Dec-14,,,
194,(주)고려시멘트,198440,Dec-15,,,77394108.0
195,(주)고려시멘트,198440,Dec-16,,,86510962.0
196,(주)고려시멘트,198440,Dec-17,1003761.0,77394108.0,54992891.0
197,(주)고려시멘트,198440,Dec-18,4645869.0,86510962.0,70382391.0
198,(주)고려시멘트,198440,Dec-19,3396444.0,88445378.0,84090906.0
199,(주)고영테크놀러지,98460,Dec-11,16580579.0,70382391.0,
200,(주)고영테크놀러지,98460,Dec-12,14836215.0,84090906.0,118348519.0
201,(주)고영테크놀러지,98460,Dec-13,14816762.0,100051693.0,133570714.0
202,(주)고영테크놀러지,98460,Dec-14,22775832.0,118348519.0,157572806.0
203,(주)고영테크놀러지,98460,Dec-15,23271756.0,133570714.0,164836232.0
204,(주)고영테크놀러지,98460,Dec-16,28063238.0,157572806.0,229271175.0
205,(주)고영테크놀러지,98460,Dec-17,28907302.0,164836232.0,21707836.0
206,(주)고영테크놀러지,98460,Dec-18,42430216.0,229271175.0,22637807.0
207,(주)고영테크놀러지,98460,Dec-19,34702997.0,252020628.0,26252682.0
208,(주)골드앤에스,35290,Dec-11,1101095.0,22637807.0,
209,(주)골드앤에스,35290,Dec-12,-6036290.0,26252682.0,9084260.0
210,(주)골드앤에스,35290,Dec-13,-16378087.0,9813150.0,14991660.0
211,(주)골드앤에스,35290,Dec-14,-8058617.0,9084260.0,14102143.0
212,(주)골드앤에스,35290,Dec-15,-9396462.0,14991660.0,13104737.0
213,(주)골드앤에스,35290,Dec-16,388207.0,14102143.0,13867013.0
214,(주)골드앤에스,35290,Dec-17,-8062623.0,13104737.0,21073186.0
215,(주)골드앤에스,35290,Dec-18,-4045846.0,13867013.0,21829724.0
216,(주)골드앤에스,35290,Dec-19,-24883215.0,-5001092.0,22928402.0
217,(주)골드퍼시픽,38530,Dec-11,990336.0,21829724.0,
218,(주)골드퍼시픽,38530,Dec-12,254546.0,22928402.0,16902289.0
219,(주)골드퍼시픽,38530,Dec-13,-8455942.0,17116411.0,20115559.0
220,(주)골드퍼시픽,38530,Dec-14,-7306525.0,16902289.0,1889641.0
221,(주)골드퍼시픽,38530,Dec-15,-12525668.0,20115559.0,5364494.0
222,(주)골드퍼시픽,38530,Dec-16,-23433498.0,1889641.0,20086698.0
223,(주)골드퍼시픽,38530,Dec-17,-965087.0,5364494.0,105063093.0
224,(주)골드퍼시픽,38530,Dec-18,-4380343.0,20086698.0,115886579.0
225,(주)골드퍼시픽,38530,Dec-19,-31603970.0,21069318.0,181394935.0
226,(주)골프존,215000,Dec-15,33262807.0,105063093.0,
227,(주)골프존,215000,Dec-16,35913366.0,115886579.0,348104397.0
228,(주)골프존,215000,Dec-17,75544308.0,181394935.0,410999847.0
229,(주)골프존,215000,Dec-18,21663391.0,197436844.0,427556455.0
