,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
210,(주)골드앤에스,35290,2013,-3.83,36607591.0,26382626.0,39548810.0,28127986.0,출판업
211,(주)골드앤에스,35290,2014,-1.41,29428881.0,21706823.0,31287203.0,23453716.0,출판업
212,(주)골드앤에스,35290,2015,1.99,22197935.0,15542053.0,22197935.0,15199451.0,출판업
213,(주)골드앤에스,35290,2016,2.42,15893494.0,9636887.0,15893494.0,9347753.0,출판업
214,(주)골드앤에스,35290,2017,-26.15,12802035.0,8220762.0,12802035.0,8002687.0,출판업
215,(주)골드앤에스,35290,2018,-4.56,8680452.0,4348267.0,8680452.0,4405757.0,출판업
216,(주)골드앤에스,35290,2019,-1.46,7642733.0,6293120.0,7642733.0,6293120.0,출판업
217,(주)골드퍼시픽,38530,2011,14.16,11236925.0,6637040.0,,,도매 및 상품 중개업
218,(주)골드퍼시픽,38530,2012,2.66,10491048.0,7335464.0,,,도매 및 상품 중개업
219,(주)골드퍼시픽,38530,2013,-11.34,6488691.0,7623009.0,7167832.0,8242393.0,도매 및 상품 중개업
220,(주)골드퍼시픽,38530,2014,-4.33,4855121.0,8095405.0,16486257.0,17957521.0,도매 및 상품 중개업
221,(주)골드퍼시픽,38530,2015,-9.59,6121489.0,8377506.0,18635305.0,19680341.0,도매 및 상품 중개업
222,(주)골드퍼시픽,38530,2016,-17.43,9588100.0,8116354.0,,,도매 및 상품 중개업
223,(주)골드퍼시픽,38530,2017,0.62,5031439.0,1988881.0,,,도매 및 상품 중개업
224,(주)골드퍼시픽,38530,2018,-0.68,5580994.0,1408824.0,5708281.0,1408824.0,도매 및 상품 중개업
225,(주)골드퍼시픽,38530,2019,-0.89,11323125.0,8029376.0,,,도매 및 상품 중개업
