,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류),매출액(수익)감소,매출원가감소,매출액(수익)감소(연결),매출원가감소(연결)
68,(주)SNT에너지,100840,2016,11111111.11,254089906.0,204980319.0,,,기타 기계 및 장비 제조업,0.02362997843763223,-0.013050140682042747,,
69,(주)SNT에너지,100840,2017,11111111.11,184091945.0,146050315.0,,,기타 기계 및 장비 제조업,0.380233697894821,0.4034911119500153,,
70,(주)SNT에너지,100840,2018,11111111.11,139516396.0,118750224.0,,,기타 기계 및 장비 제조업,0.31950043348310114,0.22989506950319522,,
71,(주)SNT에너지,100840,2019,1771.27,202822913.0,170291934.0,213326726.0,177635077.0,기타 기계 및 장비 제조업,-0.3121270474998059,-0.30266677222656946,,
72,(주)SNT홀딩스,36530,2011,16.87,2257851.0,0.0,1663846065.0,1449348821.0,전문 서비스업,,,,
73,(주)SNT홀딩스,36530,2012,20.28,8718270.0,0.0,1668749904.0,1465168699.0,전문 서비스업,-0.7410207529704861,,-0.0029386302814133377,-0.010797308194474334
74,(주)SNT홀딩스,36530,2013,30.38,8826810.0,0.0,1576368464.0,1379201925.0,전문 서비스업,-0.012296628113667338,,0.05860396354643136,0.062330810624412376
75,(주)SNT홀딩스,36530,2014,34.38,7701882.0,0.0,1552374806.0,1380123821.0,전문 서비스업,0.14605884639624445,,0.015456098557682983,-0.0006679806449047589
76,(주)SNT홀딩스,36530,2015,218.55,8475099.0,0.0,1612746929.0,1331347191.0,전문 서비스업,-0.0912339785057378,,-0.037434343798400126,0.036637047292947644
77,(주)SNT홀딩스,36530,2016,286.46,9818190.0,0.0,1537700275.0,1336617769.0,전문 서비스업,-0.13679619155872927,,0.04880447459112277,-0.003943220060543726
78,(주)SNT홀딩스,36530,2017,178.66,7417869.0,0.0,1508152132.0,1303372403.0,전문 서비스업,0.3235863291735133,,0.019592282749894357,0.025507188830666074
79,(주)SNT홀딩스,36530,2018,59.79,7292112.0,0.0,1401307482.0,1221120349.0,전문 서비스업,0.017245621021728684,,0.07624639943226964,0.06735786040037565
80,(주)SNT홀딩스,36530,2019,184.05,11015928.0,0.0,1512114565.0,1284171398.0,전문 서비스업,-0.33803924644387656,,-0.07327955537548836,-0.04909862429438722
81,(주)ST,11810,2011,1.66,4173397000.0,3988988000.0,5967701000.0,5516021000.0,도매 및 상품 중개업,,,,
82,(주)ST,11810,2012,-3.12,4116767000.0,3997635000.0,6159850000.0,6353608000.0,도매 및 상품 중개업,0.013755940037412854,-0.0021630288908317044,-0.03119377906929552,-0.13182856103177912
83,(주)ST,11810,2013,-10.71,1895063000.0,1814171000.0,2449401000.0,3140865000.0,도매 및 상품 중개업,1.1723641905308688,1.203560193609092,1.5148393423534978,1.0228847785562258
84,(주)ST,11810,2014,0.76,1291351000.0,1233380000.0,1634606000.0,1513363000.0,도매 및 상품 중개업,0.46750418747497774,0.47089380401822634,0.49846568530887564,1.0754207681831789
85,(주)ST,11810,2015,-0.84,1362127000.0,1352181000.0,1630827000.0,1586081000.0,도매 및 상품 중개업,-0.05195991269536541,-0.08785879996834743,0.002317229234002135,-0.04584759542545431
86,(주)ST,11810,2016,-0.91,1465561000.0,1494187000.0,1720153000.0,1635394000.0,도매 및 상품 중개업,-0.07057638678976856,-0.09503897437201636,-0.05192910165549227,-0.03015358989943708
87,(주)ST,11810,2017,2.02,1595494000.0,1541890000.0,1803878000.0,1718572000.0,도매 및 상품 중개업,-0.08143747328413645,-0.030938004656622716,-0.046413892735539766,-0.0483994851539534
88,(주)ST,11810,2018,-1.12,1329890000.0,1319737000.0,1502985000.0,1483048000.0,도매 및 상품 중개업,0.1997187737331659,0.16833126600224135,0.2001969414199077,0.15881077348811368
89,(주)ST,11810,2019,0.11,1237876000.0,1225459000.0,1471164000.0,1424697000.0,도매 및 상품 중개업,0.07433216251062304,0.07693280640151975,0.021629811496203008,0.04095677888000045
90,(주)TCC스틸,2710,2011,1.41,456928069.0,419062918.0,514424043.0,472273637.0,1차 금속 제조업,,,,
91,(주)TCC스틸,2710,2012,0.57,440568155.0,399338479.0,501337475.0,457927934.0,1차 금속 제조업,0.037133673449457553,0.049392783408683236,0.026103310948378634,0.0313274249829887
92,(주)TCC스틸,2710,2013,-0.59,419483813.0,385343144.0,500832754.0,474104834.0,1차 금속 제조업,0.05026258784388422,0.03631914883634208,0.0010077635617258371,-0.03412093452732017
93,(주)TCC스틸,2710,2014,0.02,401323585.0,364984531.0,518995240.0,483588495.0,1차 금속 제조업,0.04525083667833776,0.05577938589402848,-0.0349954770298086,-0.01961101452589355
94,(주)TCC스틸,2710,2015,2.17,350074629.0,311691285.0,495795871.0,451936886.0,1차 금속 제조업,0.14639437352656595,0.17098086653272965,0.04679217871098406,0.07003546287213211
95,(주)TCC스틸,2710,2016,2.53,317235565.0,281559457.0,444453635.0,402898839.0,1차 금속 제조업,0.10351633808775507,0.10701763784123224,0.11551764223955553,0.12171305115128415
96,(주)TCC스틸,2710,2017,1.55,333762378.0,304470552.0,391370092.0,356978389.0,1차 금속 제조업,-0.04951670436624226,-0.0752489685767706,0.13563515476803475,0.12863649849683198
97,(주)TCC스틸,2710,2018,3.3,351301866.0,320798763.0,413176279.0,377890304.0,1차 금속 제조업,-0.04992711311132062,-0.05089860960592295,-0.05277695770138827,-0.0553385857711766
98,(주)TCC스틸,2710,2019,2.27,339334364.0,312320391.0,437173902.0,405618477.0,1차 금속 제조업,0.0352675805035767,0.027146392756661218,-0.05489262485755611,-0.06836023152860465
99,(주)가비아,79940,2011,22.28,33792831.0,20761832.0,52838864.0,29173840.0,출판업,,,,
100,(주)가비아,79940,2012,15.43,38482449.0,23494026.0,69058144.0,40302408.0,출판업,-0.12186381381288909,-0.11629313766827362,-0.23486411682306435,-0.2761266274709938
101,(주)가비아,79940,2013,15.81,40507693.0,24558241.0,70675565.0,38882747.0,출판업,-0.04999652782003655,-0.04333433326922722,-0.022885151324931043,0.036511334963036435
102,(주)가비아,79940,2014,24.59,43906243.0,26874841.0,80432047.0,45275795.0,출판업,-0.07740470984957652,-0.08619957974821135,-0.12130092872061307,-0.1412023355967576
