,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),자기자본순이익률(개별)
258,(주)광무,29480,2011/12,-51537196.0,49296267.0,-104.54583914031461
259,(주)광무,29480,2012/12,-15113066.0,36518143.0,-41.385089050119554
260,(주)광무,29480,2013/12,-33154332.0,11346800.0,-292.19103183276343
261,(주)광무,29480,2014/12,-859721.0,8505450.0,-10.10788376864246
262,(주)광무,29480,2015/12,-2727754.0,7744452.0,-35.222040242485846
263,(주)광무,29480,2016/12,95615.0,8053231.0,1.18728743779981
264,(주)광무,29480,2017/12,-3352682.0,13552175.0,-24.739069558945335
265,(주)광무,29480,2018/12,-4875184.0,9695091.0,-50.28507726229697
266,(주)광무,29480,2019/12,-6275093.0,22202195.0,-28.263390173809395
267,(주)광주신세계,37710,2011/12,52281979.0,310214632.0,16.853485814943763
268,(주)광주신세계,37710,2012/12,53769536.0,361615843.0,14.869242330181867
269,(주)광주신세계,37710,2013/12,48569715.0,408690826.0,11.884219539589077
270,(주)광주신세계,37710,2014/12,42236355.0,448624926.0,9.414625124953488
271,(주)광주신세계,37710,2015/12,45901413.0,491380796.0,9.341311946590602
272,(주)광주신세계,37710,2016/12,45554028.0,534290186.0,8.526083614045646
273,(주)광주신세계,37710,2017/12,47846191.0,579363832.0,8.25840143227995
274,(주)광주신세계,37710,2018/12,45093180.0,620656716.0,7.2653978983125995
275,(주)광주신세계,37710,2019/12,47668959.0,661189861.0,7.209571987069535
276,(주)구영테크,53270,2011/12,985788.0,27962532.0,3.5253889025500267
277,(주)구영테크,53270,2012/12,1250176.0,29302171.0,4.266496158253939
278,(주)구영테크,53270,2013/12,1137402.0,30762180.0,3.6974037600716207
279,(주)구영테크,53270,2014/12,1326679.0,42200180.0,3.143775690056298
280,(주)구영테크,53270,2015/12,3196300.0,44066560.0,7.253345847735789
281,(주)구영테크,53270,2016/12,3920237.0,46429602.0,8.443399967115807
282,(주)구영테크,53270,2017/12,1239184.0,47102417.0,2.630828902049761
283,(주)구영테크,53270,2018/12,3912117.0,57861349.0,6.76119217337985
284,(주)구영테크,53270,2019/12,1558141.0,58668784.0,2.6558263079050692
285,(주)국동,5320,2011/12,-12930687.0,2694312.0,-479.92537612570476
286,(주)국동,5320,2012/12,262553.0,2775119.0,9.46096365597295
287,(주)국동,5320,2013/12,2373991.0,5947778.0,39.91391407009475
288,(주)국동,5320,2014/12,4692501.0,14336568.0,32.73099252205967
289,(주)국동,5320,2015/12,5321778.0,22395455.0,23.762759006235864
290,(주)국동,5320,2016/12,4379974.0,40069999.0,10.93080636213642
291,(주)국동,5320,2017/12,-6593433.0,38638770.0,-17.064293195668494
292,(주)국동,5320,2018/12,1351547.0,41762492.0,3.236270000363005
293,(주)국동,5320,2019/12,-6989987.0,54349558.0,-12.861166230643494
294,(주)국보,1140,2011/12,-176708.0,33874415.0,-0.5216562411483711
295,(주)국보,1140,2012/12,-1916073.0,31655538.0,-6.052884016692435
296,(주)국보,1140,2013/12,-3766842.0,27678685.0,-13.609179771365584
297,(주)국보,1140,2014/12,-6633427.0,20984752.0,-31.61069999778887
298,(주)국보,1140,2015/12,-3679630.0,17113465.0,-21.501373333804697
299,(주)국보,1140,2016/12,-5034348.0,13200649.0,-38.1371249246912
300,(주)국보,1140,2017/12,-2761653.0,16039171.0,-17.21817792203849
301,(주)국보,1140,2018/12,-4038217.0,11578143.0,-34.87793336116163
302,(주)국보,1140,2019/12,-9851123.0,12278837.0,-80.22846952036255
303,(주)국보디자인,66620,2011/12,6607794.0,48472432.0,13.632066160823126
304,(주)국보디자인,66620,2012/12,8631842.0,58283419.0,14.810116064055887
305,(주)국보디자인,66620,2013/12,9417821.0,64945696.0,14.501070247980714
306,(주)국보디자인,66620,2014/12,7901285.0,70452085.0,11.215118757663452
307,(주)국보디자인,66620,2015/12,6947669.0,75467148.0,9.206216458584072
308,(주)국보디자인,66620,2016/12,11905078.0,80282408.0,14.82899964834139
309,(주)국보디자인,66620,2017/12,14149734.0,94380512.0,14.992220004061855
310,(주)국보디자인,66620,2018/12,14098992.0,103598968.0,13.60920120362589
311,(주)국보디자인,66620,2019/12,9509021.0,112076012.0,8.48443911441103
312,(주)국순당,43650,2011/12,5640710.0,174045265.0,3.240944245165187
